model,epoch,method,auc,mu_S_E,mu_S_G,gamma,memorized_members,memorized_non_members
pythia_70m,0,CDD,0.5076,0.0173,0.0154,0.0018,116,101
pythia_70m,1,CDD,0.4916,0.131,0.1366,-0.0056,378,395
pythia_70m,2,CDD,0.503,0.0996,0.0915,0.0081,300,300
pythia_70m,3,CDD,0.5022,0.1119,0.1047,0.0072,346,350
pythia_70m,4,CDD,0.4821,0.119,0.1257,-0.0067,340,379
pythia_70m,5,CDD,0.5098,0.1386,0.1289,0.0097,363,348
pythia_70m,6,CDD,0.5304,0.1589,0.1322,0.0267,422,370
pythia_70m,7,CDD,0.5187,0.1464,0.1272,0.0192,387,357
pythia_70m,8,CDD,0.5191,0.1369,0.1172,0.0197,352,319
pythia_70m,9,CDD,0.5348,0.1441,0.1161,0.028,394,333
pythia_70m,10,CDD,0.5199,0.1391,0.1178,0.0212,375,344
pythia_410m,0,CDD,0.5271,0.0323,0.017,0.0153,131,78
pythia_410m,1,CDD,0.5155,0.0681,0.0758,-0.0077,270,235
pythia_410m,2,CDD,0.5068,0.0542,0.0535,0.0008,137,123
pythia_410m,3,CDD,0.5071,0.0892,0.0804,0.0088,158,144
pythia_410m,4,CDD,0.5201,0.1079,0.1004,0.0075,199,155
pythia_410m,5,CDD,0.5239,0.0931,0.0661,0.027,171,123
pythia_410m,6,CDD,0.5124,0.0807,0.0596,0.0212,171,149
pythia_410m,7,CDD,0.5212,0.0853,0.0638,0.0215,176,134
pythia_410m,8,CDD,0.523,0.0902,0.0602,0.03,183,139
pythia_410m,9,CDD,0.5132,0.0838,0.0613,0.0225,169,145
pythia_410m,10,CDD,0.5309,0.0888,0.0599,0.029,188,126
pythia_1.4b,5,CDD,0.5055,0.0355,0.0345,0.001,13,12
pythia_1.4b,6,CDD,0.5407,0.0315,0.0215,0.01,18,10
pythia_1.4b,7,CDD,0.5229,0.0175,0.035,-0.0175,12,7
pythia_1.4b,8,CDD,0.5252,0.0205,0.0265,-0.006,15,10
pythia_1.4b,9,CDD,0.5399,0.0335,0.027,0.0065,18,10
pythia_1.4b,10,CDD,0.5647,0.0415,0.025,0.0165,21,8
