model,model_label,epoch,operator,auc,gamma,abs_gamma,tp,fp,fn,tn,recall,precision,memorized_members_youden,memorized_non_members_youden,flagged_members_ipa_rule,flagged_non_members_ipa_rule
pythia_70m,Pythia-70M,0,A_mean,0.5115,-0.000598,0.000598,402,353,598,647,0.402,0.5325,402,353,342,313
pythia_70m,Pythia-70M,0,A_min,0.5252,-0.003448,0.003448,126,66,874,934,0.126,0.6562,126,66,93,43
pythia_70m,Pythia-70M,0,A_neg_var,0.5061,-0.004964,0.004964,853,807,147,193,0.853,0.5139,853,807,691,682
pythia_70m,Pythia-70M,0,A_q10,0.5332,-0.003667,0.003667,152,78,848,922,0.152,0.6609,152,78,148,77
pythia_70m,Pythia-70M,0,A_q25,0.5272,-0.005698,0.005698,267,202,733,798,0.267,0.5693,267,202,185,130
pythia_70m,Pythia-70M,0,A_median,0.5224,-0.000587,0.000587,248,185,752,815,0.248,0.5727,248,185,228,174
pythia_70m,Pythia-70M,1,A_mean,0.5459,-0.025992,0.025992,599,498,401,502,0.599,0.546,599,498,359,318
pythia_70m,Pythia-70M,1,A_min,0.5218,-0.008954,0.008954,126,80,874,920,0.126,0.6117,126,80,83,52
pythia_70m,Pythia-70M,1,A_neg_var,0.5359,0.006156,0.006156,491,409,509,591,0.491,0.5456,491,409,393,336
pythia_70m,Pythia-70M,1,A_q10,0.5198,-0.00809,0.00809,219,180,781,820,0.219,0.5489,219,180,140,103
pythia_70m,Pythia-70M,1,A_q25,0.5185,-0.010902,0.010902,317,271,683,729,0.317,0.5391,317,271,176,156
pythia_70m,Pythia-70M,1,A_median,0.527,-0.024711,0.024711,359,305,641,695,0.359,0.5407,359,305,248,215
pythia_70m,Pythia-70M,2,A_mean,0.5482,-0.028204,0.028204,471,364,529,636,0.471,0.5641,471,364,403,326
pythia_70m,Pythia-70M,2,A_min,0.537,-0.014259,0.014259,168,87,832,913,0.168,0.6588,168,87,132,59
pythia_70m,Pythia-70M,2,A_neg_var,0.4885,-0.002023,0.002023,882,843,118,157,0.882,0.5113,882,843,660,651
pythia_70m,Pythia-70M,2,A_q10,0.551,-0.017597,0.017597,231,124,769,876,0.231,0.6507,231,124,192,97
pythia_70m,Pythia-70M,2,A_q25,0.5534,-0.023903,0.023903,326,210,674,790,0.326,0.6082,326,210,231,122
pythia_70m,Pythia-70M,2,A_median,0.5552,-0.037441,0.037441,413,291,587,709,0.413,0.5866,413,291,288,192
pythia_70m,Pythia-70M,3,A_mean,0.5611,-0.041611,0.041611,335,213,665,787,0.335,0.6113,335,213,391,285
pythia_70m,Pythia-70M,3,A_min,0.5487,-0.018319,0.018319,185,94,815,906,0.185,0.6631,185,94,128,52
pythia_70m,Pythia-70M,3,A_neg_var,0.5263,0.004999,0.004999,712,646,288,354,0.712,0.5243,712,646,361,345
pythia_70m,Pythia-70M,3,A_q10,0.5414,-0.020267,0.020267,253,163,747,837,0.253,0.6082,253,163,183,103
pythia_70m,Pythia-70M,3,A_q25,0.5482,-0.020936,0.020936,295,208,705,792,0.295,0.5865,295,208,218,148
pythia_70m,Pythia-70M,3,A_median,0.5568,-0.045065,0.045065,441,323,559,677,0.441,0.5772,441,323,298,201
pythia_70m,Pythia-70M,4,A_mean,0.575,-0.054803,0.054803,401,262,599,738,0.401,0.6048,401,262,408,276
pythia_70m,Pythia-70M,4,A_min,0.5456,-0.017966,0.017966,217,125,783,875,0.217,0.6345,217,125,128,53
pythia_70m,Pythia-70M,4,A_neg_var,0.5312,0.005905,0.005905,596,510,404,490,0.596,0.5389,596,510,381,342
pythia_70m,Pythia-70M,4,A_q10,0.5594,-0.027897,0.027897,315,195,685,805,0.315,0.6176,315,195,181,88
pythia_70m,Pythia-70M,4,A_q25,0.5594,-0.043114,0.043114,415,291,585,709,0.415,0.5878,415,291,227,120
pythia_70m,Pythia-70M,4,A_median,0.5658,-0.063186,0.063186,441,308,559,692,0.441,0.5888,441,308,310,193
pythia_70m,Pythia-70M,5,A_mean,0.5809,-0.061825,0.061825,425,289,575,711,0.425,0.5952,425,289,397,274
