model,model_label,params_M,epoch,operator,n_members,n_non_members,mu_S_E,mu_S_G,sigma_S_E,sigma_S_G,gamma,abs_gamma,members_higher_S,auc,auc_raw_neg_S,tau,youden_threshold,tp,fp,fn,tn,recall,precision,flagged_members_ipa_rule,flagged_non_members_ipa_rule,memorized_members_youden,memorized_non_members_youden
pythia_70m,Pythia-70M,70,0,A_mean,1000,1000,0.134667,0.134069,0.159816,0.174,-0.000598,0.000598,True,0.5115,0.4885,1.0,0.110539,402,353,598,647,0.402,0.5325,342,313,402,353
pythia_70m,Pythia-70M,70,0,A_min,1000,1000,0.007357,0.003909,0.049114,0.046668,-0.003448,0.003448,True,0.5252,0.4748,1.0,0.001355,126,66,874,934,0.126,0.6562,93,43,126,66
pythia_70m,Pythia-70M,70,0,A_neg_var,1000,1000,-0.047113,-0.052077,0.068236,0.076382,-0.004964,0.004964,True,0.5061,0.4939,1.0,-0.132681,853,807,147,193,0.853,0.5139,691,682,853,807
pythia_70m,Pythia-70M,70,0,A_q10,1000,1000,0.014456,0.010789,0.064463,0.076183,-0.003667,0.003667,True,0.5332,0.4668,1.0,0.014225,152,78,848,922,0.152,0.6609,148,77,152,78
pythia_70m,Pythia-70M,70,0,A_q25,1000,1000,0.028888,0.02319,0.093464,0.10491,-0.005698,0.005698,True,0.5272,0.4728,1.0,0.009482,267,202,733,798,0.267,0.5693,185,130,267,202
pythia_70m,Pythia-70M,70,0,A_median,1000,1000,0.086937,0.086351,0.194979,0.223301,-0.000587,0.000587,True,0.5224,0.4776,1.0,0.073579,248,185,752,815,0.248,0.5727,228,174,248,185
pythia_70m,Pythia-70M,70,1,A_mean,1000,1000,0.2142,0.188208,0.21264,0.207556,-0.025992,0.025992,True,0.5459,0.4541,1.0,0.112789,599,498,401,502,0.599,0.546,359,318,599,498
pythia_70m,Pythia-70M,70,1,A_min,1000,1000,0.020395,0.011441,0.106083,0.080112,-0.008954,0.008954,True,0.5218,0.4782,1.0,0.002094,126,80,874,920,0.126,0.6117,83,52,126,80
pythia_70m,Pythia-70M,70,1,A_neg_var,1000,1000,-0.071234,-0.065078,0.077595,0.079666,0.006156,0.006156,False,0.5359,0.5359,1.0,0.044491,491,409,509,591,0.491,0.5456,393,336,491,409
pythia_70m,Pythia-70M,70,1,A_q10,1000,1000,0.033594,0.025503,0.122878,0.110977,-0.00809,0.00809,True,0.5198,0.4802,1.0,0.005848,219,180,781,820,0.219,0.5489,140,103,219,180
pythia_70m,Pythia-70M,70,1,A_q25,1000,1000,0.069012,0.05811,0.191354,0.177912,-0.010902,0.010902,True,0.5185,0.4815,1.0,0.01068,317,271,683,729,0.317,0.5391,176,156,317,271
pythia_70m,Pythia-70M,70,1,A_median,1000,1000,0.160615,0.135904,0.284773,0.267353,-0.024711,0.024711,True,0.527,0.473,1.0,0.072203,359,305,641,695,0.359,0.5407,248,215,359,305
pythia_70m,Pythia-70M,70,2,A_mean,1000,1000,0.195096,0.166892,0.190288,0.181771,-0.028204,0.028204,True,0.5482,0.4518,1.0,0.163258,471,364,529,636,0.471,0.5641,403,326,471,364
pythia_70m,Pythia-70M,70,2,A_min,1000,1000,0.023231,0.008972,0.092506,0.062585,-0.014259,0.014259,True,0.537,0.463,1.0,0.008599,168,87,832,913,0.168,0.6588,132,59,168,87
pythia_70m,Pythia-70M,70,2,A_neg_var,1000,1000,-0.055827,-0.057851,0.06821,0.073714,-0.002023,0.002023,True,0.4885,0.5115,1.0,-0.157372,882,843,118,157,0.882,0.5113,660,651,882,843
pythia_70m,Pythia-70M,70,2,A_q10,1000,1000,0.039584,0.021987,0.115142,0.096266,-0.017597,0.017597,True,0.551,0.449,1.0,0.02195,231,124,769,876,0.231,0.6507,192,97,231,124
pythia_70m,Pythia-70M,70,2,A_q25,1000,1000,0.069262,0.045358,0.158381,0.150916,-0.023903,0.023903,True,0.5534,0.4466,1.0,0.028264,326,210,674,790,0.326,0.6082,231,122,326,210
pythia_70m,Pythia-70M,70,2,A_median,1000,1000,0.143716,0.106274,0.234997,0.219717,-0.037441,0.037441,True,0.5552,0.4448,1.0,0.06805,413,291,587,709,0.413,0.5866,288,192,413,291
pythia_70m,Pythia-70M,70,3,A_mean,1000,1000,0.229313,0.187702,0.213616,0.201224,-0.041611,0.041611,True,0.5611,0.4389,1.0,0.286405,335,213,665,787,0.335,0.6113,391,285,335,213
pythia_70m,Pythia-70M,70,3,A_min,1000,1000,0.029507,0.011188,0.11499,0.074215,-0.018319,0.018319,True,0.5487,0.4513,1.0,0.005794,185,94,815,906,0.185,0.6631,128,52,185,94
pythia_70m,Pythia-70M,70,3,A_neg_var,1000,1000,-0.06697,-0.061971,0.075633,0.073848,0.004999,0.004999,False,0.5263,0.5263,1.0,0.008439,712,646,288,354,0.712,0.5243,361,345,712,646
pythia_70m,Pythia-70M,70,3,A_q10,1000,1000,0.04676,0.026493,0.135116,0.106925,-0.020267,0.020267,True,0.5414,0.4586,1.0,0.016987,253,163,747,837,0.253,0.6082,183,103,253,163
pythia_70m,Pythia-70M,70,3,A_q25,1000,1000,0.08118,0.060244,0.182472,0.17735,-0.020936,0.020936,True,0.5482,0.4518,1.0,0.041904,295,208,705,792,0.295,0.5865,218,148,295,208
pythia_70m,Pythia-70M,70,3,A_median,1000,1000,0.181539,0.136475,0.278036,0.261285,-0.045065,0.045065,True,0.5568,0.4432,1.0,0.076322,441,323,559,677,0.441,0.5772,298,201,441,323
pythia_70m,Pythia-70M,70,4,A_mean,1000,1000,0.237685,0.182882,0.210552,0.183584,-0.054803,0.054803,True,0.575,0.425,1.0,0.244616,401,262,599,738,0.401,0.6048,408,276,401,262
pythia_70m,Pythia-70M,70,4,A_min,1000,1000,0.028142,0.010176,0.101595,0.063581,-0.017966,0.017966,True,0.5456,0.4544,1.0,0.000815,217,125,783,875,0.217,0.6345,128,53,217,125
pythia_70m,Pythia-70M,70,4,A_neg_var,1000,1000,-0.069897,-0.063992,0.076088,0.076561,0.005905,0.005905,False,0.5312,0.5312,1.0,0.022173,596,510,404,490,0.596,0.5389,381,342,596,510
pythia_70m,Pythia-70M,70,4,A_q10,1000,1000,0.048271,0.020374,0.127651,0.083046,-0.027897,0.027897,True,0.5594,0.4406,1.0,0.006,315,195,685,805,0.315,0.6176,181,88,315,195
pythia_70m,Pythia-70M,70,4,A_q25,1000,1000,0.087052,0.043938,0.18501,0.131924,-0.043114,0.043114,True,0.5594,0.4406,1.0,0.011866,415,291,585,709,0.415,0.5878,227,120,415,291
pythia_70m,Pythia-70M,70,4,A_median,1000,1000,0.188683,0.125497,0.27722,0.238174,-0.063186,0.063186,True,0.5658,0.4342,1.0,0.079887,441,308,559,692,0.441,0.5888,310,193,441,308
pythia_70m,Pythia-70M,70,5,A_mean,1000,1000,0.260686,0.198861,0.229931,0.199874,-0.061825,0.061825,True,0.5809,0.4191,1.0,0.244631,425,289,575,711,0.425,0.5952,397,274,425,289
pythia_70m,Pythia-70M,70,5,A_min,1000,1000,0.0373,0.011424,0.131086,0.07169,-0.025877,0.025877,True,0.5513,0.4487,1.0,0.000929,226,121,774,879,0.226,0.6513,134,47,226,121
pythia_70m,Pythia-70M,70,5,A_neg_var,1000,1000,-0.072994,-0.066007,0.075954,0.078134,0.006987,0.006987,False,0.5402,0.5402,1.0,0.061111,440,347,560,653,0.44,0.5591,396,316,440,347
pythia_70m,Pythia-70M,70,5,A_q10,1000,1000,0.060736,0.023915,0.158436,0.098535,-0.036821,0.036821,True,0.5636,0.4364,1.0,0.036627,236,102,764,898,0.236,0.6982,191,83,236,102
pythia_70m,Pythia-70M,70,5,A_q25,1000,1000,0.105447,0.054553,0.212969,0.166741,-0.050894,0.050894,True,0.5732,0.4268,1.0,0.047256,339,184,661,816,0.339,0.6482,237,114,339,184
pythia_70m,Pythia-70M,70,5,A_median,1000,1000,0.218042,0.149411,0.306964,0.266015,-0.068631,0.068631,True,0.5566,0.4434,1.0,0.122603,425,280,575,720,0.425,0.6028,316,198,425,280
pythia_70m,Pythia-70M,70,6,A_mean,1000,1000,0.262267,0.206613,0.230645,0.198403,-0.055654,0.055654,True,0.5658,0.4342,1.0,0.202939,501,361,499,639,0.501,0.5812,412,297,501,361
pythia_70m,Pythia-70M,70,6,A_min,1000,1000,0.032402,0.011328,0.1148,0.062937,-0.021074,0.021074,True,0.5535,0.4465,1.0,0.000235,239,135,761,865,0.239,0.639,136,60,239,135
pythia_70m,Pythia-70M,70,6,A_neg_var,1000,1000,-0.07482,-0.071041,0.078785,0.079823,0.00378,0.00378,False,0.5207,0.5207,1.0,0.021949,613,563,387,437,0.613,0.5213,387,361,613,563
pythia_70m,Pythia-70M,70,6,A_q10,1000,1000,0.063271,0.026484,0.160114,0.098382,-0.036787,0.036787,True,0.5569,0.4431,1.0,0.021146,286,161,714,839,0.286,0.6398,186,92,286,161
pythia_70m,Pythia-70M,70,6,A_q25,1000,1000,0.105359,0.055418,0.219712,0.156698,-0.049942,0.049942,True,0.5589,0.4411,1.0,0.056114,303,181,697,819,0.303,0.626,230,124,303,181
pythia_70m,Pythia-70M,70,6,A_median,1000,1000,0.219155,0.150369,0.30993,0.264134,-0.068786,0.068786,True,0.5583,0.4417,1.0,0.211291,322,200,678,800,0.322,0.6169,312,198,322,200
pythia_70m,Pythia-70M,70,7,A_mean,1000,1000,0.260628,0.199569,0.227968,0.19517,-0.061059,0.061059,True,0.5794,0.4206,1.0,0.215433,473,330,527,670,0.473,0.589,397,279,473,330
pythia_70m,Pythia-70M,70,7,A_min,1000,1000,0.038661,0.012721,0.130667,0.070612,-0.02594,0.02594,True,0.5488,0.4512,1.0,0.016909,177,85,823,915,0.177,0.6756,143,62,177,85
pythia_70m,Pythia-70M,70,7,A_neg_var,1000,1000,-0.07373,-0.067035,0.074326,0.079406,0.006695,0.006695,False,0.5428,0.5428,1.0,0.023606,633,516,367,484,0.633,0.5509,401,332,633,516
pythia_70m,Pythia-70M,70,7,A_q10,1000,1000,0.065274,0.028289,0.161984,0.107186,-0.036985,0.036985,True,0.5572,0.4428,1.0,0.029259,266,143,734,857,0.266,0.6504,195,98,266,143
pythia_70m,Pythia-70M,70,7,A_q25,1000,1000,0.105417,0.055975,0.216969,0.158375,-0.049442,0.049442,True,0.5551,0.4449,1.0,0.087448,255,136,745,864,0.255,0.6522,231,121,255,136
pythia_70m,Pythia-70M,70,7,A_median,1000,1000,0.213284,0.143025,0.305034,0.26019,-0.070259,0.070259,True,0.5599,0.4401,1.0,0.158317,362,233,638,767,0.362,0.6084,307,188,362,233
pythia_70m,Pythia-70M,70,8,A_mean,1000,1000,0.260785,0.196176,0.2286,0.190324,-0.064609,0.064609,True,0.5809,0.4191,1.0,0.22634,457,305,543,695,0.457,0.5997,401,263,457,305
pythia_70m,Pythia-70M,70,8,A_min,1000,1000,0.038452,0.014547,0.133096,0.079118,-0.023905,0.023905,True,0.5433,0.4567,1.0,0.012671,202,105,798,895,0.202,0.658,148,63,202,105
pythia_70m,Pythia-70M,70,8,A_neg_var,1000,1000,-0.070618,-0.063542,0.07527,0.07655,0.007077,0.007077,False,0.5359,0.5359,1.0,0.016483,644,569,356,431,0.644,0.5309,386,332,644,569
pythia_70m,Pythia-70M,70,8,A_q10,1000,1000,0.064909,0.028244,0.162919,0.101302,-0.036665,0.036665,True,0.556,0.444,1.0,0.021896,301,184,699,816,0.301,0.6206,206,99,301,184
pythia_70m,Pythia-70M,70,8,A_q25,1000,1000,0.11109,0.057707,0.224091,0.153689,-0.053383,0.053383,True,0.5563,0.4437,1.0,0.096286,260,143,740,857,0.26,0.6452,239,132,260,143
pythia_70m,Pythia-70M,70,8,A_median,1000,1000,0.21653,0.148582,0.30275,0.258647,-0.067949,0.067949,True,0.5614,0.4386,1.0,0.170053,369,241,631,759,0.369,0.6049,321,197,369,241
pythia_70m,Pythia-70M,70,9,A_mean,1000,1000,0.25608,0.196754,0.233351,0.191789,-0.059327,0.059327,True,0.5659,0.4341,1.0,0.250553,404,278,596,722,0.404,0.5924,394,273,404,278
pythia_70m,Pythia-70M,70,9,A_min,1000,1000,0.035194,0.013428,0.120342,0.071287,-0.021766,0.021766,True,0.5494,0.4506,1.0,0.00448,236,137,764,863,0.236,0.6327,141,68,236,137
pythia_70m,Pythia-70M,70,9,A_neg_var,1000,1000,-0.069072,-0.063584,0.0732,0.07536,0.005488,0.005488,False,0.5315,0.5315,1.0,0.039297,510,433,490,567,0.51,0.5408,381,336,510,433
pythia_70m,Pythia-70M,70,9,A_q10,1000,1000,0.061212,0.026528,0.151616,0.09454,-0.034684,0.034684,True,0.553,0.447,1.0,0.083998,186,73,814,927,0.186,0.7181,203,102,186,73
pythia_70m,Pythia-70M,70,9,A_q25,1000,1000,0.110498,0.056915,0.219696,0.157111,-0.053583,0.053583,True,0.5581,0.4419,1.0,0.114039,251,123,749,877,0.251,0.6711,252,127,251,123
pythia_70m,Pythia-70M,70,9,A_median,1000,1000,0.215407,0.140237,0.30631,0.247342,-0.07517,0.07517,True,0.5543,0.4457,1.0,0.220062,317,180,683,820,0.317,0.6378,320,184,317,180
pythia_70m,Pythia-70M,70,10,A_mean,1000,1000,0.258771,0.207736,0.229978,0.197056,-0.051036,0.051036,True,0.56,0.44,1.0,0.234011,428,326,572,674,0.428,0.5676,387,300,428,326
pythia_70m,Pythia-70M,70,10,A_min,1000,1000,0.03887,0.015889,0.125997,0.087988,-0.022981,0.022981,True,0.542,0.458,1.0,0.016671,197,103,803,897,0.197,0.6567,149,67,197,103
pythia_70m,Pythia-70M,70,10,A_neg_var,1000,1000,-0.069271,-0.067965,0.072663,0.077797,0.001306,0.001306,False,0.523,0.523,1.0,0.036271,537,457,463,543,0.537,0.5402,387,349,537,457
pythia_70m,Pythia-70M,70,10,A_q10,1000,1000,0.066885,0.02902,0.160754,0.107638,-0.037865,0.037865,True,0.5545,0.4455,1.0,0.030643,277,152,723,848,0.277,0.6457,196,98,277,152
pythia_70m,Pythia-70M,70,10,A_q25,1000,1000,0.110424,0.059507,0.222268,0.159013,-0.050917,0.050917,True,0.5447,0.4553,1.0,0.0641,303,188,697,812,0.303,0.6171,241,133,303,188
pythia_70m,Pythia-70M,70,10,A_median,1000,1000,0.216123,0.149389,0.301304,0.259631,-0.066734,0.066734,True,0.5551,0.4449,1.0,0.167167,367,235,633,765,0.367,0.6096,318,201,367,235
pythia_410m,Pythia-410M,410,0,A_mean,1000,1000,0.414042,0.408808,0.210182,0.21141,-0.005234,0.005234,True,0.5057,0.4943,1.0,0.265401,734,703,266,297,0.734,0.5108,459,456,734,703
pythia_410m,Pythia-410M,410,0,A_min,1000,1000,0.161063,0.153419,0.192339,0.187289,-0.007644,0.007644,True,0.5172,0.4828,1.0,0.010002,845,800,155,200,0.845,0.5137,356,333,845,800
pythia_410m,Pythia-410M,410,0,A_neg_var,1000,1000,-0.044907,-0.041524,0.041155,0.037324,0.003382,0.003382,False,0.5129,0.5129,1.0,0.063536,260,205,740,795,0.26,0.5591,378,363,260,205
pythia_410m,Pythia-410M,410,0,A_q10,1000,1000,0.223191,0.21631,0.207613,0.203014,-0.006881,0.006881,True,0.5115,0.4885,1.0,0.066972,750,716,250,284,0.75,0.5116,391,367,750,716
pythia_410m,Pythia-410M,410,0,A_q25,1000,1000,0.290885,0.284704,0.233055,0.228259,-0.00618,0.00618,True,0.5065,0.4935,1.0,0.087117,807,775,193,225,0.807,0.5101,403,411,807,775
pythia_410m,Pythia-410M,410,0,A_median,1000,1000,0.389433,0.390939,0.252144,0.248653,0.001505,0.001505,False,0.5045,0.5045,1.0,-0.331362,490,455,510,545,0.49,0.5185,563,546,490,455
pythia_410m,Pythia-410M,410,1,A_mean,1000,1000,0.510533,0.440681,0.271227,0.220437,-0.069852,0.069852,True,0.5641,0.4359,1.0,0.796742,191,66,809,934,0.191,0.7432,430,348,191,66
pythia_410m,Pythia-410M,410,1,A_min,1000,1000,0.242515,0.150986,0.322443,0.202751,-0.091529,0.091529,True,0.5579,0.4421,1.0,0.571678,163,49,837,951,0.163,0.7689,309,230,163,49
pythia_410m,Pythia-410M,410,1,A_neg_var,1000,1000,-0.05652,-0.059025,0.050359,0.047681,-0.002505,0.002505,True,0.5273,0.4727,1.0,-0.01203,224,118,776,882,0.224,0.655,577,583,224,118
pythia_410m,Pythia-410M,410,1,A_q10,1000,1000,0.310396,0.217824,0.321065,0.224342,-0.092572,0.092572,True,0.5647,0.4353,1.0,0.617796,188,68,812,932,0.188,0.7344,361,270,188,68
pythia_410m,Pythia-410M,410,1,A_q25,1000,1000,0.38193,0.293272,0.333351,0.25636,-0.088657,0.088657,True,0.5614,0.4386,1.0,0.879671,163,37,837,963,0.163,0.815,381,300,163,37
pythia_410m,Pythia-410M,410,1,A_median,1000,1000,0.479666,0.411258,0.328644,0.275386,-0.068408,0.068408,True,0.5516,0.4484,1.0,0.916692,190,64,810,936,0.19,0.748,426,363,190,64
pythia_410m,Pythia-410M,410,2,A_mean,1000,1000,0.424921,0.400189,0.222717,0.217525,-0.024731,0.024731,True,0.5327,0.4673,1.0,0.402553,501,436,499,564,0.501,0.5347,453,398,501,436
