model,epoch,method,method_col,auc,tp,fp,recall,precision,memorized_members,memorized_non_members
pythia_70m,0,MIA-loss,mia_loss,0.6466,401,178,0.401,0.6926,401,178
pythia_70m,0,MIA-min-K,mia_min_k,0.6398,507,287,0.507,0.6385,507,287
pythia_70m,0,MIA-neighborhood,mia_neighborhood,0.6557,472,216,0.472,0.686,472,216
pythia_70m,1,MIA-loss,mia_loss,0.6416,448,229,0.448,0.6617,448,229
pythia_70m,1,MIA-min-K,mia_min_k,0.6537,581,347,0.581,0.6261,581,347
pythia_70m,1,MIA-neighborhood,mia_neighborhood,0.6477,510,267,0.51,0.6564,510,267
pythia_70m,2,MIA-loss,mia_loss,0.6454,463,240,0.463,0.6586,463,240
pythia_70m,2,MIA-min-K,mia_min_k,0.6588,434,196,0.434,0.6889,434,196
pythia_70m,2,MIA-neighborhood,mia_neighborhood,0.6523,490,248,0.49,0.664,490,248
pythia_70m,3,MIA-loss,mia_loss,0.6499,388,161,0.388,0.7067,388,161
pythia_70m,3,MIA-min-K,mia_min_k,0.6615,585,339,0.585,0.6331,585,339
pythia_70m,3,MIA-neighborhood,mia_neighborhood,0.6595,491,242,0.491,0.6698,491,242
pythia_70m,4,MIA-loss,mia_loss,0.6479,390,166,0.39,0.7014,390,166
pythia_70m,4,MIA-min-K,mia_min_k,0.6522,562,332,0.562,0.6286,562,332
pythia_70m,4,MIA-neighborhood,mia_neighborhood,0.6533,501,257,0.501,0.6609,501,257
pythia_70m,5,MIA-loss,mia_loss,0.6443,450,233,0.45,0.6589,450,233
pythia_70m,5,MIA-min-K,mia_min_k,0.6507,453,226,0.453,0.6672,453,226
pythia_70m,5,MIA-neighborhood,mia_neighborhood,0.6545,491,243,0.491,0.6689,491,243
pythia_70m,6,MIA-loss,mia_loss,0.644,456,234,0.456,0.6609,456,234
pythia_70m,6,MIA-min-K,mia_min_k,0.6468,460,230,0.46,0.6667,460,230
pythia_70m,6,MIA-neighborhood,mia_neighborhood,0.6547,475,225,0.475,0.6786,475,225
pythia_70m,7,MIA-loss,mia_loss,0.645,461,239,0.461,0.6586,461,239
pythia_70m,7,MIA-min-K,mia_min_k,0.6501,468,242,0.468,0.6592,468,242
pythia_70m,7,MIA-neighborhood,mia_neighborhood,0.6554,501,254,0.501,0.6636,501,254
pythia_70m,8,MIA-loss,mia_loss,0.6455,448,231,0.448,0.6598,448,231
pythia_70m,8,MIA-min-K,mia_min_k,0.6473,505,279,0.505,0.6441,505,279
pythia_70m,8,MIA-neighborhood,mia_neighborhood,0.659,538,288,0.538,0.6513,538,288
pythia_70m,9,MIA-loss,mia_loss,0.6448,463,245,0.463,0.654,463,245
pythia_70m,9,MIA-min-K,mia_min_k,0.6477,552,326,0.552,0.6287,552,326
pythia_70m,9,MIA-neighborhood,mia_neighborhood,0.6588,496,245,0.496,0.6694,496,245
pythia_70m,10,MIA-loss,mia_loss,0.6447,456,235,0.456,0.6599,456,235
pythia_70m,10,MIA-min-K,mia_min_k,0.6484,547,315,0.547,0.6346,547,315
pythia_70m,10,MIA-neighborhood,mia_neighborhood,0.6588,509,252,0.509,0.6689,509,252
