model,epoch,mia_method,n_members,pearl_flagged,mia_flagged,both,pearl_only,mia_only,neither,jaccard
pythia_70m,0,MIA-loss,1000,402,401,198,204,203,395,0.3273
pythia_70m,0,MIA-min-K,1000,402,507,235,167,272,326,0.3487
pythia_70m,0,MIA-neighborhood,1000,402,472,215,187,257,341,0.3263
pythia_70m,1,MIA-loss,1000,599,448,298,301,150,251,0.3979
pythia_70m,1,MIA-min-K,1000,599,581,374,225,207,194,0.464
pythia_70m,1,MIA-neighborhood,1000,599,510,338,261,172,229,0.4384
pythia_70m,2,MIA-loss,1000,471,463,268,203,195,334,0.4024
pythia_70m,2,MIA-min-K,1000,471,434,249,222,185,344,0.3796
pythia_70m,2,MIA-neighborhood,1000,471,490,279,192,211,318,0.4091
pythia_70m,3,MIA-loss,1000,335,388,166,169,222,443,0.298
pythia_70m,3,MIA-min-K,1000,335,585,230,105,355,310,0.3333
pythia_70m,3,MIA-neighborhood,1000,335,491,195,140,296,369,0.309
pythia_70m,4,MIA-loss,1000,401,390,211,190,179,420,0.3638
pythia_70m,4,MIA-min-K,1000,401,562,273,128,289,310,0.3957
pythia_70m,4,MIA-neighborhood,1000,401,501,244,157,257,342,0.3708
pythia_70m,5,MIA-loss,1000,425,450,229,196,221,354,0.3545
pythia_70m,5,MIA-min-K,1000,425,453,227,198,226,349,0.3487
pythia_70m,5,MIA-neighborhood,1000,425,491,253,172,238,337,0.3816
pythia_70m,6,MIA-loss,1000,501,456,271,230,185,314,0.395
pythia_70m,6,MIA-min-K,1000,501,460,275,226,185,314,0.4009
pythia_70m,6,MIA-neighborhood,1000,501,475,273,228,202,297,0.3883
pythia_70m,7,MIA-loss,1000,473,461,262,211,199,328,0.3899
pythia_70m,7,MIA-min-K,1000,473,468,253,220,215,312,0.3677
pythia_70m,7,MIA-neighborhood,1000,473,501,274,199,227,300,0.3914
pythia_70m,8,MIA-loss,1000,457,448,254,203,194,349,0.3902
pythia_70m,8,MIA-min-K,1000,457,505,280,177,225,318,0.4106
pythia_70m,8,MIA-neighborhood,1000,457,538,287,170,251,292,0.4054
pythia_70m,9,MIA-loss,1000,404,463,232,172,231,365,0.3654
pythia_70m,9,MIA-min-K,1000,404,552,272,132,280,316,0.3977
pythia_70m,9,MIA-neighborhood,1000,404,496,245,159,251,345,0.374
pythia_70m,10,MIA-loss,1000,428,456,243,185,213,359,0.3791
pythia_70m,10,MIA-min-K,1000,428,547,272,156,275,297,0.3869
