model,model_label,params_M,epoch,ipa_auc,ipa_gamma,ipa_abs_gamma,ipa_tp,ipa_fp,ipa_flagged_members,ipa_flagged_non_members,cdd_auc,mia_loss_auc,mia_loss_flagged_members,mia_loss_flagged_non_members,mia_min_k_auc,mia_min_k_flagged_members,mia_min_k_flagged_non_members,mia_neighborhood_auc,mia_neighborhood_flagged_members,mia_neighborhood_flagged_non_members
pythia_70m,Pythia-70M,70,0,0.5115,-0.000598,0.000598,402,353,402,353,0.5076,0.6466,401,178,0.6398,507,287,0.6557,472,216
pythia_70m,Pythia-70M,70,1,0.5459,-0.025992,0.025992,599,498,599,498,0.4916,0.6416,448,229,0.6537,581,347,0.6477,510,267
pythia_70m,Pythia-70M,70,2,0.5482,-0.028204,0.028204,471,364,471,364,0.503,0.6454,463,240,0.6588,434,196,0.6523,490,248
pythia_70m,Pythia-70M,70,3,0.5611,-0.041611,0.041611,335,213,335,213,0.5022,0.6499,388,161,0.6615,585,339,0.6595,491,242
pythia_70m,Pythia-70M,70,4,0.575,-0.054803,0.054803,401,262,401,262,0.4821,0.6479,390,166,0.6522,562,332,0.6533,501,257
pythia_70m,Pythia-70M,70,5,0.5809,-0.061825,0.061825,425,289,425,289,0.5098,0.6443,450,233,0.6507,453,226,0.6545,491,243
pythia_70m,Pythia-70M,70,6,0.5658,-0.055654,0.055654,501,361,501,361,0.5304,0.644,456,234,0.6468,460,230,0.6547,475,225
pythia_70m,Pythia-70M,70,7,0.5794,-0.061059,0.061059,473,330,473,330,0.5187,0.645,461,239,0.6501,468,242,0.6554,501,254
pythia_70m,Pythia-70M,70,8,0.5809,-0.064609,0.064609,457,305,457,305,0.5191,0.6455,448,231,0.6473,505,279,0.659,538,288
pythia_70m,Pythia-70M,70,9,0.5659,-0.059327,0.059327,404,278,404,278,0.5348,0.6448,463,245,0.6477,552,326,0.6588,496,245
pythia_70m,Pythia-70M,70,10,0.56,-0.051036,0.051036,428,326,428,326,0.5199,0.6447,456,235,0.6484,547,315,0.6588,509,252
pythia_410m,Pythia-410M,410,0,0.5057,-0.005234,0.005234,734,703,734,703,0.5271,0.6669,504,243,0.6664,496,249,0.6703,508,240
pythia_410m,Pythia-410M,410,1,0.5641,-0.069852,0.069852,191,66,191,66,0.5155,0.599,595,442,0.6375,535,329,0.6315,629,412
pythia_410m,Pythia-410M,410,2,0.5327,-0.024731,0.024731,501,436,501,436,0.5068,0.625,512,338,0.6461,552,341,0.6396,619,398
pythia_410m,Pythia-410M,410,3,0.5705,-0.057024,0.057024,460,338,460,338,0.5071,0.6345,455,262,0.6545,549,334,0.6438,650,427
pythia_410m,Pythia-410M,410,4,0.5677,-0.052011,0.052011,323,220,323,220,0.5201,0.6298,384,203,0.6485,420,212,0.6402,650,434
pythia_410m,Pythia-410M,410,5,0.594,-0.071618,0.071618,527,385,527,385,0.5239,0.6373,459,262,0.6533,428,208,0.6443,628,402
pythia_410m,Pythia-410M,410,6,0.5899,-0.069041,0.069041,586,450,586,450,0.5124,0.6351,393,204,0.6534,538,321,0.6418,579,357
pythia_410m,Pythia-410M,410,7,0.5974,-0.073238,0.073238,401,254,401,254,0.5212,0.636,465,270,0.6527,422,204,0.6434,603,380
pythia_410m,Pythia-410M,410,8,0.5838,-0.066734,0.066734,379,245,379,245,0.523,0.6359,483,288,0.6524,426,208,0.6427,616,393
pythia_410m,Pythia-410M,410,9,0.5997,-0.074467,0.074467,429,273,429,273,0.5132,0.6359,482,290,0.6518,448,235,0.6426,631,407
pythia_410m,Pythia-410M,410,10,0.5945,-0.070596,0.070596,570,411,570,411,0.5309,0.636,480,288,0.6523,391,176,0.6434,605,380
pythia_1.4b,Pythia-1.4B,1400,0,0.5045,-0.00886,0.00886,124,88,124,88,,0.6857,516,226,0.6846,525,248,0.6874,585,284
pythia_1.4b,Pythia-1.4B,1400,1,0.5163,-0.018854,0.018854,319,264,319,264,,0.6503,504,277,0.6614,538,288,0.6579,650,399
pythia_1.4b,Pythia-1.4B,1400,2,0.6234,-0.10211,0.10211,49,25,49,25,,0.6689,29,3,0.6705,28,2,0.6824,53,24
pythia_1.4b,Pythia-1.4B,1400,3,0.6734,-0.140547,0.140547,54,23,54,23,,0.6604,33,9,0.6641,31,5,0.6737,42,14
pythia_1.4b,Pythia-1.4B,1400,4,0.7028,-0.156456,0.156456,45,12,45,12,,0.669,32,5,0.6777,50,22,0.6802,47,17
pythia_1.4b,Pythia-1.4B,1400,5,0.7626,-0.193,0.193,86,44,86,44,0.5055,0.6665,55,30,0.6696,30,3,0.6754,39,10
pythia_1.4b,Pythia-1.4B,1400,6,0.7496,-0.18834,0.18834,54,18,54,18,0.5407,0.672,34,6,0.674,51,21,0.6789,38,9
pythia_1.4b,Pythia-1.4B,1400,7,0.7769,-0.20966,0.20966,59,14,59,14,0.5229,0.6742,30,2,0.6757,46,17,0.6765,38,9
pythia_1.4b,Pythia-1.4B,1400,8,0.7678,-0.206047,0.206047,55,10,55,10,0.5252,0.674,30,2,0.6775,45,17,0.6763,61,31
pythia_1.4b,Pythia-1.4B,1400,9,0.7643,-0.199593,0.199593,57,11,57,11,0.5399,0.6747,30,2,0.6777,46,17,0.6768,61,31
pythia_1.4b,Pythia-1.4B,1400,10,0.7607,-0.213288,0.213288,609,234,609,234,0.5647,0.6632,514,257,0.6684,540,270,0.6645,553,294
pythia_2.8b,Pythia-2.8B,2800,1,0.547,-0.040374,0.040374,354,258,354,258,,0.6549,454,209,0.6587,478,238,0.6671,675,409
pythia_2.8b,Pythia-2.8B,2800,10,0.8048,-0.254377,0.254377,720,254,720,254,,0.6614,468,216,0.6654,419,163,0.6645,524,273
