sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,2.71875,-8.125,0.70625
1,2.171875,-6.96875,1.1375
2,1.304688,-5.34375,1.354687
3,2.53125,-7.78125,1.03125
4,0.769531,-3.5,1.027344
5,3.484375,-9.4375,0.721875
6,1.625,-6.0,1.21875
7,1.453125,-5.6875,1.098438
8,2.765625,-7.625,0.984375
9,3.734375,-7.65625,0.478125
10,0.890625,-4.3125,1.540625
11,1.921875,-7.25,1.06875
12,0.761719,-3.484375,1.522656
13,0.773438,-3.546875,1.567187
14,1.03125,-4.625,1.509375
15,0.933594,-4.4375,1.258594
16,1.71875,-6.875,1.05625
17,2.109375,-6.8125,1.015625
18,1.273438,-5.40625,1.15625
19,0.337891,-1.71875,2.065234
20,2.453125,-8.0,0.8125
21,0.703125,-3.25,1.63125
22,1.945312,-6.65625,0.992188
23,2.640625,-7.15625,1.025
24,1.242188,-5.0,0.843749
25,2.109375,-7.03125,0.85625
26,3.21875,-7.53125,0.7875
27,0.722656,-3.484375,1.455469
28,3.234375,-8.8125,0.78125
29,3.03125,-7.90625,0.9
30,2.125,-7.5625,1.009375
31,1.507812,-5.46875,1.273438
32,2.171875,-6.65625,0.959375
33,2.96875,-7.84375,0.915625
34,2.203125,-7.3125,0.75
35,1.984375,-6.1875,0.940625
36,2.140625,-7.15625,0.7875
37,1.226562,-5.125,1.046876
38,2.375,-7.0625,0.875
39,0.792969,-3.796875,1.532031
40,1.789062,-6.4375,1.026563
41,0.992188,-4.125,1.428125
42,1.601562,-5.0,0.967188
43,2.390625,-7.84375,0.89375
44,1.289062,-4.8125,1.073438
45,1.25,-5.40625,1.415625
46,1.242188,-5.46875,1.423437
47,0.808594,-3.9375,1.455468
48,2.765625,-7.4375,0.725
49,0.898438,-4.09375,1.842187
50,1.34375,-5.90625,1.309375
51,2.515625,-7.53125,0.95
52,2.4375,-7.4375,0.9375
53,2.09375,-6.8125,0.89375
54,2.515625,-6.75,1.115625
55,3.125,-8.8125,0.746875
56,1.125,-5.21875,1.384375
57,1.882812,-6.46875,1.092188
58,3.15625,-8.3125,1.103125
59,2.515625,-8.0625,0.84375
60,1.007812,-4.46875,1.585938
61,1.8125,-5.8125,0.975
62,2.4375,-7.125,1.109375
63,1.585938,-5.84375,1.185937
64,1.203125,-5.5625,1.609375
65,0.625,-3.078125,1.2375
66,1.882812,-6.84375,0.620313
67,0.996094,-4.5,1.563281
68,2.328125,-7.46875,0.8875
69,3.34375,-8.75,0.71875
70,1.859375,-6.03125,1.4625
71,2.53125,-7.65625,0.94375
72,1.421875,-5.875,1.3875
73,2.265625,-6.65625,1.00625
74,2.953125,-8.0,0.684375
75,1.273438,-4.90625,1.362499
76,2.125,-6.28125,0.8125
77,0.988281,-4.34375,1.288282
78,0.769531,-3.546875,1.311719
79,2.3125,-7.46875,0.83125
80,1.0625,-4.53125,1.4375
81,0.878906,-4.03125,1.355469
82,0.734375,-3.5625,1.55625
83,3.125,-7.875,0.84375
84,0.554688,-2.453125,1.292187
85,1.1875,-4.8125,1.026563
86,1.195312,-4.9375,1.357813
87,2.390625,-7.40625,1.05625
88,3.140625,-8.1875,0.821875
89,1.9375,-6.5,0.75
90,1.03125,-4.8125,1.81875
91,1.117188,-4.8125,1.348437
92,1.429688,-5.5,1.082812
93,2.3125,-6.90625,0.7875
94,2.3125,-7.0,0.978125
95,1.359375,-4.9375,1.253125
96,1.882812,-7.21875,0.992188
97,1.1875,-5.25,1.703125
98,1.0625,-4.84375,1.515625
99,1.773438,-6.34375,1.307812
100,1.8125,-5.15625,0.959375
101,2.140625,-6.4375,0.659375
102,2.140625,-6.4375,0.946875
103,2.140625,-6.4375,0.9
104,2.34375,-6.65625,0.8125
105,2.328125,-6.59375,0.9
106,2.625,-7.375,0.790625
107,2.890625,-7.78125,0.734375
