sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,2.0625,-8.3125,1.721875
1,1.296875,-5.875,1.5375
2,1.15625,-5.53125,2.075
3,1.546875,-6.625,2.046875
4,1.429688,-6.40625,1.710937
5,0.314453,-1.585938,2.424609
6,0.597656,-2.984375,2.119531
7,4.625,-12.8125,0.93125
8,0.414062,-2.09375,2.660938
9,1.648438,-6.65625,1.948437
10,2.921875,-9.8125,1.134375
11,0.699219,-3.546875,2.138281
12,2.625,-9.6875,1.30625
13,3.59375,-10.875,1.425
14,1.59375,-7.25,1.7125
15,0.574219,-2.859375,1.999219
16,2.171875,-8.9375,1.946875
17,0.769531,-3.734375,1.652344
18,0.539062,-2.6875,2.234376
19,0.597656,-2.984375,1.935157
20,4.21875,-11.75,1.0375
21,0.984375,-4.6875,1.676563
22,0.789062,-3.890625,2.251563
23,1.609375,-7.25,1.75625
24,0.435547,-2.171875,2.40664
25,3.140625,-10.625,1.115625
26,1.773438,-6.90625,1.835937
27,2.0625,-7.59375,2.1125
28,2.890625,-9.5625,1.246875
29,1.304688,-5.625,1.779687
30,2.59375,-8.9375,1.865625
31,3.4375,-10.3125,1.11875
32,4.6875,-12.6875,0.93125
33,0.259766,-1.289062,2.483984
34,0.710938,-3.546875,2.414062
35,0.539062,-2.703125,2.015625
36,2.546875,-9.625,1.096875
37,1.25,-5.34375,1.94375
38,1.359375,-6.125,2.203125
39,4.03125,-12.0625,0.85
40,4.15625,-12.6875,0.975
41,3.203125,-10.625,1.184375
42,3.140625,-10.6875,0.778125
43,1.726562,-7.3125,1.492188
44,0.652344,-3.296875,2.441406
45,0.578125,-2.875,2.035938
46,2.0625,-7.78125,1.725
47,0.652344,-3.203125,2.285156
48,2.484375,-9.4375,1.484375
49,0.851562,-4.3125,2.360938
50,2.3125,-8.625,1.184375
51,1.523438,-6.6875,2.045312
52,0.609375,-3.046875,1.754687
53,2.40625,-8.4375,1.446875
54,0.9375,-4.59375,2.1
55,3.453125,-10.75,0.88125
56,2.65625,-9.25,1.234375
57,0.183594,-0.925781,2.449218
58,2.078125,-8.25,1.1375
59,4.15625,-12.5,0.8875
60,0.220703,-1.109375,2.835547
61,1.539062,-6.9375,1.976563
62,1.0,-5.03125,1.534375
63,0.223633,-1.125,2.416992
64,0.240234,-1.210938,2.809766
65,2.59375,-9.3125,1.284375
66,4.40625,-12.1875,1.01875
67,1.554688,-7.15625,1.451562
68,0.6875,-3.375,1.892188
69,1.0625,-4.90625,2.259375
70,2.0625,-8.375,1.41875
71,2.8125,-9.1875,1.103125
72,1.578125,-7.3125,1.74375
73,1.148438,-5.375,1.679687
74,0.65625,-3.21875,2.58125
75,1.320312,-6.03125,1.976563
76,2.578125,-9.1875,0.70625
77,2.203125,-9.375,1.21875
78,4.96875,-12.1875,0.7125
79,0.492188,-2.515625,2.382812
80,0.474609,-2.390625,2.328516
81,1.109375,-5.3125,1.85625
82,2.4375,-9.4375,2.35625
83,1.703125,-6.9375,2.0875
84,0.984375,-4.53125,2.340625
85,1.765625,-6.6875,2.153125
86,0.632812,-3.21875,2.473438
87,2.6875,-9.4375,1.425
88,0.507812,-2.5625,2.017188
89,2.1875,-7.8125,1.44375
90,0.84375,-4.15625,2.134375
91,1.625,-7.03125,1.6625
92,1.0625,-5.21875,1.79375
93,0.894531,-4.4375,1.589844
94,1.710938,-6.96875,1.748437
95,3.734375,-11.125,0.684375
96,0.476562,-2.390625,2.651563
97,0.96875,-4.75,2.253125
98,2.53125,-9.3125,1.15
99,1.765625,-6.90625,1.825
100,1.65625,-6.4375,1.175
101,2.578125,-8.5625,1.103125
102,1.75,-6.65625,1.29375
103,1.648438,-6.15625,1.420312
104,1.53125,-6.0,1.29375
105,2.09375,-7.5625,1.459375
106,2.171875,-7.8125,1.29375
107,1.921875,-6.78125,1.6125
108,1.632812,-6.34375,1.667188
109,1.085938,-4.5625,1.375
110,2.03125,-7.34375,1.309375
111,1.429688,-5.78125,1.354687
112,1.828125,-6.46875,1.375
113,2.234375,-8.125,1.246875
114,1.703125,-6.8125,1.340625
115,2.234375,-7.9375,1.43125
116,1.9375,-7.8125,0.965625
117,2.078125,-7.5,1.5375
118,1.648438,-6.28125,1.307812
119,2.109375,-7.625,1.140625
120,1.609375,-6.40625,1.4625
121,1.140625,-5.15625,1.073438
122,2.1875,-7.96875,1.046875
123,1.570312,-6.25,1.292188
124,1.757812,-6.59375,1.029688
125,2.109375,-7.3125,1.25625
126,2.625,-9.125,0.8875
127,1.492188,-5.71875,1.414062
128,1.921875,-6.96875,1.528125
129,2.109375,-7.46875,1.371875
130,1.5625,-5.96875,1.0625
131,2.046875,-6.78125,1.29375
132,1.671875,-6.46875,1.25
133,2.21875,-7.46875,1.321875
134,2.0,-6.71875,1.415625
135,1.726562,-7.59375,0.942188
136,1.117188,-5.1875,1.276562
137,2.015625,-7.21875,1.3625
138,1.945312,-6.90625,1.207813
139,1.765625,-7.09375,1.25625
140,1.234375,-4.8125,1.51875
141,1.789062,-6.625,1.301563
142,1.992188,-7.6875,1.392187
143,1.945312,-7.28125,1.314063
144,1.414062,-6.0625,1.329688
145,1.625,-6.28125,1.375
146,1.765625,-6.15625,1.14375
147,1.609375,-6.96875,1.25625
148,1.554688,-6.5,1.485937
149,1.765625,-7.03125,0.740625
150,2.0,-7.84375,1.3375
151,1.507812,-6.03125,1.145313
152,1.210938,-5.59375,0.874999
153,1.914062,-7.1875,0.760938
154,1.625,-6.59375,1.134375
155,1.179688,-5.34375,1.354687
156,1.6875,-6.90625,0.928125
157,1.789062,-6.59375,1.273438
158,2.640625,-7.59375,1.30625
159,2.28125,-7.53125,1.00625
160,1.734375,-7.0,1.275
161,1.851562,-7.625,1.173438
162,1.703125,-6.59375,1.4
163,1.640625,-6.40625,1.2375
164,1.875,-7.3125,1.41875
165,1.71875,-6.34375,1.215625
166,1.898438,-7.40625,1.254687
167,1.640625,-7.21875,1.08125
168,1.765625,-6.90625,1.18125
169,1.703125,-6.375,1.325
170,2.875,-8.8125,1.246875
171,2.34375,-8.9375,1.2375
172,1.757812,-6.625,1.317188
173,1.78125,-6.28125,1.675
174,2.375,-7.625,1.209375
175,1.96875,-6.84375,1.290625
176,2.359375,-8.875,1.359375
177,0.945312,-4.5625,1.204688
178,1.71875,-6.53125,1.30625
179,1.648438,-7.0,1.470312
180,2.171875,-7.34375,1.003125
181,1.703125,-6.78125,1.2125
182,1.460938,-6.03125,1.492187
183,1.492188,-5.6875,1.370312
184,1.265625,-5.59375,1.021875
185,1.71875,-6.59375,1.54375
186,2.171875,-7.46875,1.521875
187,1.421875,-5.71875,1.234375
188,1.5,-5.90625,1.134375
189,1.273438,-5.71875,0.99375
190,2.03125,-7.375,1.165625
191,1.734375,-6.5,1.215625
192,1.671875,-6.65625,1.19375
193,2.140625,-7.21875,1.421875
194,1.414062,-5.8125,1.401563
195,1.929688,-7.84375,1.382812
196,2.15625,-7.40625,1.265625
197,2.015625,-6.96875,1.415625
198,1.804688,-7.15625,1.404687
199,1.796875,-6.9375,1.3125
200,1.414062,-5.78125,1.151563
201,1.945312,-7.59375,1.170313
202,2.265625,-7.65625,1.38125
203,1.804688,-7.0625,1.370312
204,1.484375,-6.28125,1.234375
205,1.554688,-6.625,1.417187
206,1.453125,-6.59375,0.984375
207,1.695312,-6.9375,1.170313
208,1.40625,-5.34375,1.365625
209,1.53125,-6.25,1.378125
210,1.265625,-5.53125,1.334375
211,2.40625,-8.375,1.196875
212,1.632812,-6.375,1.301563
213,1.945312,-7.59375,1.345313
214,1.046875,-4.90625,0.915625
215,2.515625,-8.6875,1.30625
216,1.695312,-6.65625,1.426563
217,1.359375,-6.1875,1.1625
218,1.578125,-6.28125,1.271875
219,0.996094,-4.6875,1.216406
220,1.8125,-7.15625,1.3
221,2.3125,-8.375,1.440625
222,3.296875,-10.125,1.415625
223,2.15625,-7.5,1.04375
224,2.734375,-9.3125,0.884375
225,1.21875,-5.4375,1.15625
226,1.921875,-7.3125,1.559375
227,2.09375,-6.875,1.31875
228,1.398438,-5.375,1.442187
229,1.875,-6.78125,1.09375
230,1.703125,-6.59375,1.35
231,1.992188,-7.34375,1.582812
232,2.484375,-8.3125,1.409375
233,2.265625,-8.0,1.13125
234,2.015625,-7.46875,1.378125
235,1.546875,-6.0625,1.609375
236,1.609375,-6.03125,1.09375
237,1.765625,-6.84375,1.35625
238,1.023438,-4.25,1.099999
239,1.03125,-4.5,1.285938
240,1.617188,-5.625,1.039062
241,1.554688,-6.53125,1.367187
242,1.945312,-7.625,1.035938
243,1.679688,-6.46875,1.195312
244,1.359375,-5.84375,1.234375
245,1.65625,-6.4375,1.23125
246,1.867188,-6.875,1.204687
247,1.835938,-6.8125,1.154687
248,1.632812,-7.03125,1.004688
249,1.875,-7.03125,1.28125
250,1.625,-6.28125,1.015625
251,1.828125,-6.4375,1.471875
252,1.476562,-6.09375,1.445313
253,1.59375,-6.90625,0.99375
254,1.765625,-6.875,1.14375
255,1.703125,-6.6875,1.253125
256,2.8125,-8.625,1.1375
257,1.398438,-6.125,1.182812
258,1.585938,-6.53125,1.354687
259,0.949219,-4.34375,1.038281
260,1.304688,-5.8125,1.085937
261,2.3125,-7.75,1.2125
262,2.015625,-7.46875,1.346875
263,1.828125,-7.1875,1.115625
264,1.46875,-6.46875,1.440625
265,1.867188,-6.96875,1.339062
266,1.773438,-6.59375,1.051562
267,1.171875,-5.15625,1.296875
268,1.570312,-6.96875,1.248438
269,1.695312,-7.15625,1.201563
270,2.28125,-8.0625,1.41875
271,1.171875,-5.15625,1.182812
272,2.359375,-8.5,1.125
273,2.5,-8.5625,1.240625
274,1.625,-6.4375,1.60625
275,1.515625,-6.25,0.984375
276,1.726562,-6.875,1.267188
277,1.679688,-6.3125,1.398437
278,1.445312,-5.875,0.954688
279,1.359375,-5.5,1.565625
280,1.546875,-6.25,1.2375
281,1.070312,-4.875,1.403125
282,2.59375,-7.875,1.46875
283,1.28125,-5.78125,1.13125
284,1.085938,-4.84375,1.420312
285,2.046875,-7.46875,1.296875
286,1.734375,-6.65625,1.471875
287,1.53125,-5.875,1.621875
288,1.921875,-7.46875,1.284375
289,1.585938,-5.8125,0.998437
290,1.890625,-7.03125,1.090625
291,2.359375,-8.3125,1.128125
292,2.015625,-7.53125,1.009375
293,1.554688,-6.65625,1.220312
294,2.78125,-9.625,1.065625
295,1.59375,-6.3125,1.271875
296,1.015625,-4.6875,1.253125
297,1.601562,-6.40625,1.048438
298,1.59375,-6.71875,1.2875
299,1.710938,-7.375,1.235937
300,1.609375,-6.15625,1.321875
301,1.757812,-6.34375,1.454688
302,1.75,-6.9375,1.44375
303,1.773438,-7.125,1.029687
304,1.195312,-5.1875,1.184375
305,1.945312,-7.875,1.135938
306,1.40625,-6.0,1.18125
307,1.40625,-6.1875,1.0
308,2.015625,-7.6875,1.28125
309,2.34375,-7.90625,1.28125
310,1.734375,-6.8125,1.43125
311,1.585938,-6.6875,1.345312
312,1.742188,-6.5625,1.475
313,1.75,-6.34375,1.25
314,1.625,-6.8125,1.2875
315,0.980469,-4.53125,1.266406
316,1.804688,-6.46875,1.704687
317,1.867188,-6.96875,1.245312
318,1.820312,-7.0625,1.001563
319,1.882812,-6.90625,1.467188
320,1.007812,-4.5625,1.160938
321,1.226562,-5.21875,1.121875
322,2.1875,-7.53125,1.215625
323,1.820312,-6.96875,1.123438
324,1.820312,-7.25,1.473438
325,2.21875,-8.1875,1.1875
326,1.773438,-6.84375,1.351562
327,2.046875,-7.125,1.1625
328,1.484375,-5.5625,1.465625
329,1.476562,-6.3125,1.376563
330,1.273438,-5.4375,1.185937
331,1.632812,-7.03125,1.295313
332,1.742188,-6.5625,1.239062
333,2.03125,-7.71875,1.08125
334,1.453125,-6.21875,1.425
335,1.757812,-6.84375,1.248438
336,1.453125,-5.84375,1.54375
337,1.367188,-5.6875,1.304687
338,1.609375,-6.78125,1.328125
339,1.539062,-6.53125,1.542188
340,1.625,-6.46875,1.278125
341,1.6875,-6.6875,1.04375
342,1.148438,-5.375,1.339062
343,1.25,-5.09375,1.034375
344,1.6875,-7.03125,1.346875
345,1.617188,-6.4375,1.195312
346,1.40625,-5.84375,1.228125
347,1.484375,-5.90625,1.1375
348,1.71875,-6.46875,1.36875
349,1.578125,-5.90625,1.5
350,1.476562,-5.90625,1.129688
351,2.203125,-8.0625,1.19375
352,1.539062,-5.5625,1.051563
353,1.515625,-6.75,0.820312
354,2.375,-8.125,1.1125
355,2.28125,-7.84375,1.296875
356,2.296875,-8.125,1.0
357,1.289062,-4.59375,1.217188
358,1.523438,-5.8125,1.407812
359,1.585938,-6.59375,1.314062
360,1.59375,-6.65625,1.115625
361,1.640625,-6.0625,1.33125
362,1.515625,-6.15625,1.353125
363,2.21875,-7.625,1.134375
364,1.546875,-6.34375,1.340625
365,1.585938,-6.5625,1.198437
366,2.5,-8.125,1.978125
367,1.40625,-5.75,1.28125
368,1.5625,-6.0625,1.634375
369,2.234375,-7.6875,1.3875
370,2.671875,-8.1875,1.35625
371,2.546875,-8.8125,1.2
372,1.476562,-5.90625,1.101563
373,1.671875,-6.46875,1.45
374,1.460938,-5.8125,1.364062
375,1.734375,-7.0,1.278125
376,1.679688,-6.25,1.451562
377,2.28125,-8.125,1.425
378,1.5,-6.28125,0.853125
379,1.976562,-8.0625,0.998438
380,2.359375,-9.125,1.225
381,1.390625,-5.75,1.19375
382,1.234375,-4.84375,1.346875
383,1.859375,-7.15625,1.234375
384,2.1875,-7.25,1.34375
385,2.140625,-7.28125,1.259375
386,1.132812,-4.96875,1.339063
387,1.578125,-6.90625,1.303125
388,1.476562,-6.46875,1.260938
389,1.53125,-6.21875,1.334375
390,2.53125,-9.125,1.040625
391,2.125,-7.84375,1.3375
392,1.34375,-5.65625,1.40625
393,0.882812,-3.90625,1.379688
394,1.890625,-7.34375,1.209375
395,2.484375,-8.1875,1.678125
396,1.914062,-6.4375,1.773438
397,1.132812,-5.21875,1.150001
398,1.257812,-5.53125,1.368751
399,2.28125,-7.96875,1.178125
400,1.28125,-5.78125,1.2125
401,2.359375,-8.625,1.0875
402,2.125,-7.34375,1.275
403,2.09375,-7.90625,1.05625
404,1.484375,-5.6875,0.953125
405,2.328125,-7.4375,1.225
406,2.34375,-8.25,1.35625
407,1.789062,-7.1875,1.407813
408,1.726562,-6.71875,1.207813
409,1.890625,-6.71875,1.590625
410,1.492188,-6.71875,1.195312
411,2.203125,-7.8125,1.2125
412,2.296875,-7.9375,1.365625
413,1.023438,-4.84375,1.3125
414,1.859375,-7.40625,1.4125
415,1.976562,-7.21875,1.126563
416,1.414062,-5.5625,1.157813
417,1.632812,-5.71875,1.479688
418,2.171875,-8.5,1.425
419,2.359375,-7.9375,1.215625
420,1.890625,-7.4375,1.278125
421,1.625,-6.875,1.0625
422,2.046875,-7.34375,1.321875
423,1.195312,-5.34375,1.093751
424,2.21875,-7.8125,1.290625
425,1.648438,-6.625,1.473437
426,1.523438,-6.34375,1.185937
427,2.21875,-8.0625,1.190625
428,1.203125,-5.5625,1.00625
429,1.992188,-7.3125,1.567187
430,1.523438,-6.53125,1.295312
431,1.835938,-7.0625,1.248437
432,1.953125,-7.625,1.109375
433,1.90625,-7.53125,1.08125
434,1.320312,-5.5,1.154688
435,1.640625,-6.40625,1.253125
436,2.0625,-7.53125,1.384375
437,1.3125,-6.0,1.0
438,1.304688,-5.59375,1.439062
439,2.15625,-7.71875,1.440625
440,1.867188,-6.5625,1.210937
441,1.648438,-6.8125,1.532812
442,1.804688,-6.71875,1.442187
443,1.601562,-6.625,1.326563
444,2.03125,-7.5,1.234375
445,1.710938,-6.625,1.279687
446,1.039062,-4.78125,1.423438
447,1.5,-5.875,1.33125
448,1.484375,-6.3125,1.209375
449,2.3125,-8.375,1.30625
450,1.53125,-5.53125,0.725
451,1.734375,-6.5625,1.165625
452,1.992188,-6.96875,1.364062
453,2.015625,-7.3125,1.10625
454,1.523438,-6.125,1.635937
