sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,1.984375,-7.71875,1.29375
1,1.15625,-4.65625,1.2625
2,1.085938,-4.6875,1.648437
3,1.273438,-5.0625,1.820312
4,1.375,-5.125,1.3875
5,0.460938,-2.09375,1.845312
6,0.683594,-3.109375,1.682031
7,3.78125,-10.0,0.80625
8,0.46875,-2.15625,2.101562
9,1.742188,-5.8125,1.492187
10,2.59375,-8.375,1.03125
11,0.597656,-2.828125,1.771094
12,2.515625,-9.0625,1.203125
13,2.96875,-8.125,1.30625
14,1.375,-5.78125,1.428125
15,0.640625,-3.0,1.465625
16,2.15625,-7.375,1.440625
17,0.953125,-4.375,1.225
18,0.976562,-3.71875,1.735938
19,0.820312,-3.671875,1.403125
20,3.46875,-9.125,1.034375
21,1.101562,-4.8125,1.276563
22,0.625,-2.796875,1.896875
23,1.453125,-6.125,1.446875
24,0.429688,-1.875,1.951562
25,2.578125,-8.3125,1.0625
26,1.679688,-5.4375,1.432812
27,2.046875,-6.84375,1.55625
28,2.4375,-6.75,1.01875
29,1.578125,-6.375,1.40625
30,2.4375,-7.3125,1.50625
31,2.484375,-7.0,1.25
32,3.515625,-9.625,0.953125
33,0.423828,-1.835938,1.968359
34,0.408203,-1.78125,2.166797
35,0.789062,-3.484375,1.520313
36,2.171875,-7.4375,0.94375
37,1.484375,-5.625,1.478125
38,1.21875,-4.96875,1.8875
39,3.359375,-9.5,0.734375
40,3.0,-8.5,0.934375
41,2.515625,-7.5,1.159375
42,2.6875,-8.375,0.678125
43,1.539062,-6.28125,1.142188
44,0.722656,-3.390625,1.911719
45,0.824219,-3.71875,1.641406
46,1.835938,-6.40625,1.529687
47,0.710938,-3.265625,1.792187
48,2.15625,-7.15625,1.15625
49,0.785156,-3.53125,1.814844
50,1.960938,-6.625,1.107812
51,1.375,-5.78125,1.65
52,0.546875,-2.515625,1.407813
53,1.890625,-6.625,1.425
54,1.132812,-4.4375,1.657813
55,3.125,-9.125,0.665625
56,2.421875,-7.96875,1.15625
57,0.441406,-2.03125,1.832032
58,2.03125,-7.25,0.871875
59,3.140625,-9.25,0.878125
60,0.597656,-2.65625,2.205469
61,1.4375,-6.125,1.675
62,0.859375,-4.15625,1.290625
63,0.361328,-1.664062,1.94961
64,0.601562,-2.671875,2.170313
65,2.1875,-7.53125,1.1125
66,3.5625,-9.75,0.85
67,1.34375,-5.84375,1.253125
68,0.742188,-3.359375,1.543749
69,1.585938,-6.09375,1.551562
70,1.960938,-7.3125,1.201562
71,2.359375,-7.34375,1.1375
72,1.28125,-5.65625,1.41875
73,1.359375,-5.5625,1.3
74,0.640625,-2.75,2.0
75,1.585938,-6.09375,1.420312
76,2.421875,-8.4375,0.653125
77,1.679688,-6.0625,1.085937
78,4.0625,-9.875,0.6375
79,0.519531,-2.40625,2.013282
80,0.546875,-2.40625,1.815625
81,1.109375,-4.875,1.371875
82,2.359375,-8.125,1.7875
83,1.523438,-5.53125,1.710937
84,1.171875,-4.78125,1.66875
85,2.0625,-7.0,1.55625
86,0.8125,-3.703125,1.840625
87,2.390625,-7.5625,1.228125
88,0.46875,-2.15625,1.703125
89,1.59375,-5.84375,1.325
90,0.835938,-3.8125,1.726562
91,1.445312,-5.9375,1.385938
92,1.039062,-4.65625,1.339063
93,0.945312,-4.21875,1.225001
94,1.578125,-5.96875,1.5375
95,3.03125,-8.8125,0.646875
96,0.535156,-2.453125,2.111719
97,0.9375,-4.09375,2.025
98,2.234375,-7.625,1.0875
99,1.679688,-6.15625,1.557812
