sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,3.5625,-10.0,0.6625
1,2.984375,-9.125,1.353125
2,1.679688,-7.21875,1.501562
3,3.59375,-10.1875,1.125
4,1.085938,-5.03125,1.226562
5,4.34375,-11.5,0.84375
6,2.328125,-8.5,1.39375
7,1.820312,-7.09375,1.389063
8,3.53125,-10.0,1.2
9,4.25,-8.75,0.5125
10,1.148438,-5.25,1.635937
11,2.671875,-9.75,1.24375
12,1.132812,-5.03125,1.670313
13,1.257812,-5.3125,1.623438
14,1.421875,-6.3125,1.603125
15,1.21875,-5.78125,1.525
16,2.21875,-8.75,1.2875
17,2.734375,-8.8125,1.35
18,1.664062,-7.0625,1.407813
19,0.484375,-2.296875,2.229687
20,3.140625,-9.75,0.95
21,1.078125,-4.875,1.701563
22,2.625,-8.625,1.1625
23,3.46875,-9.6875,1.1125
24,1.460938,-5.75,0.895312
25,2.71875,-9.375,0.96875
26,3.90625,-9.75,0.9375
27,1.101562,-4.96875,1.470313
28,3.8125,-10.5,0.8625
29,4.0,-10.9375,0.88125
30,2.84375,-9.625,1.2125
31,1.890625,-6.875,1.534375
32,2.859375,-8.5,1.028125
33,3.765625,-10.25,1.015625
34,2.90625,-10.125,0.9375
35,2.578125,-8.25,1.06875
36,2.625,-8.5,0.94375
37,1.640625,-6.84375,1.2
38,3.125,-9.5,0.953125
39,1.015625,-4.78125,1.596875
40,2.265625,-8.125,1.3
41,1.367188,-5.59375,1.595312
42,2.0625,-6.65625,1.078125
43,2.8125,-9.0,0.978125
44,1.570312,-6.125,1.320313
45,1.578125,-6.75,1.6125
46,1.679688,-7.28125,1.598437
47,1.03125,-4.78125,1.56875
48,3.59375,-9.5625,0.85
49,1.617188,-6.5625,1.739062
50,1.695312,-7.1875,1.410938
51,3.265625,-9.8125,1.140625
52,3.453125,-9.6875,1.084375
53,2.84375,-9.0,1.04375
54,3.421875,-9.375,1.140625
55,3.90625,-10.5625,0.75625
56,1.453125,-6.5625,1.3875
57,2.515625,-8.75,1.271875
58,4.0,-10.8125,1.175
59,3.421875,-10.5,0.8875
60,1.15625,-4.96875,1.703125
61,2.421875,-7.6875,1.178125
62,3.0625,-8.625,1.321875
63,2.109375,-7.9375,1.3875
64,1.460938,-6.46875,1.760937
65,0.8125,-3.859375,1.330469
66,2.4375,-8.875,0.75625
67,1.320312,-5.90625,1.657813
68,3.125,-10.25,0.9375
69,4.21875,-11.375,0.81875
70,2.375,-7.90625,1.675
71,3.28125,-9.625,1.025
72,1.992188,-7.96875,1.454687
73,2.71875,-8.375,1.175
74,3.625,-9.875,0.840625
75,1.632812,-6.5625,1.457813
76,2.75,-7.96875,0.953125
77,1.476562,-6.125,1.370313
78,0.988281,-4.5,1.657032
79,2.703125,-8.8125,1.084375
80,1.5,-6.28125,1.55
81,1.15625,-5.40625,1.473437
82,0.953125,-4.375,1.589063
83,3.921875,-10.0,0.978125
84,0.953125,-4.34375,1.540625
85,1.640625,-6.21875,1.1125
86,1.625,-6.6875,1.603125
87,3.0,-9.4375,1.221875
88,3.8125,-10.0625,0.8375
89,2.328125,-8.125,0.921875
90,1.40625,-6.1875,1.878125
91,1.429688,-6.125,1.404687
92,2.09375,-7.875,1.30625
93,3.015625,-9.25,0.859375
94,2.875,-9.25,1.103125
95,1.929688,-7.09375,1.451562
96,2.375,-8.6875,1.1875
97,1.726562,-6.8125,1.857813
98,1.523438,-6.5,1.510937
99,2.28125,-7.875,1.571875
