sample_idx,acr_ratio,acr_memorized
0,0.062857,1
1,0.038596,1
2,0.034161,1
3,0.036913,1
4,0.044898,1
5,0.05,1
6,0.045833,1
7,0.063218,1
8,0.071895,1
9,0.053659,1
10,0.049327,1
11,0.073826,1
12,0.034268,1
13,0.050691,1
14,0.038062,1
15,0.062857,1
16,0.037801,1
17,0.048458,1
18,0.039427,1
19,0.057895,1
20,0.047009,1
21,0.039711,1
22,0.044715,1
23,0.041509,1
24,0.04721,1
25,0.034161,1
26,0.083969,1
27,0.046025,1
28,0.044715,1
29,0.04955,1
30,0.036066,1
31,0.050691,1
32,0.049327,1
33,0.041199,1
34,0.038869,1
35,0.043825,1
36,0.030556,1
37,0.038062,1
38,0.046809,1
39,0.042471,1
40,0.038869,1
41,0.040293,1
42,0.045833,1
43,0.038596,1
44,0.065476,1
45,0.04059,1
46,0.035032,1
47,0.044177,1
48,0.035714,1
49,0.036184,1
50,0.040441,1
51,0.034591,1
52,0.042969,1
53,0.041985,1
54,0.050926,1
55,0.044177,1
56,0.041985,1
57,0.0275,1
58,0.055276,1
59,0.039286,1
60,0.047414,1
61,0.050459,1
62,0.048889,1
63,0.035032,1
64,0.041985,1
65,0.054187,1
66,0.055,1
67,0.045833,1
68,0.04,1
69,0.044177,1
70,0.070513,1
71,0.042146,1
72,0.045082,1
73,0.050459,1
74,0.059783,1
75,0.050926,1
76,0.037162,1
77,0.034483,1
78,0.037037,1
79,0.041825,1
80,0.044534,1
81,0.038194,1
82,0.04059,1
83,0.041667,1
84,0.037162,1
85,0.035032,1
86,0.041825,1
87,0.043137,1
88,0.031884,1
89,0.036184,1
90,0.047619,1
91,0.041045,1
92,0.042308,1
93,0.034375,1
94,0.039007,1
95,0.038596,1
96,0.045643,1
97,0.045643,1
98,0.043651,1
99,0.036424,1
