sample_idx,acr_ratio,acr_memorized
0,0.084615,1
1,0.046025,1
2,0.039711,1
3,0.055838,1
4,0.034375,1
5,0.055838,1
6,0.083969,1
7,0.039711,1
8,0.055556,1
9,0.046025,1
10,0.040741,1
11,0.079137,1
12,0.040892,1
13,0.044355,1
14,0.035948,1
15,0.050691,1
16,0.051402,1
17,0.032934,1
18,0.078014,1
19,0.048035,1
20,0.042471,1
21,0.045455,1
22,0.05914,1
23,0.036424,1
24,0.054726,1
25,0.032544,1
26,0.055838,1
27,0.053659,1
28,0.050691,1
29,0.036667,1
30,0.043478,1
31,0.046025,1
32,0.048246,1
33,0.054726,1
34,0.054455,1
35,0.06044,1
36,0.033435,1
37,0.033742,1
38,0.045643,1
39,0.058511,1
40,0.045643,1
41,0.039855,1
42,0.057292,1
43,0.037801,1
44,0.053922,1
45,0.049327,1
46,0.0347,1
47,0.043651,1
48,0.039427,1
49,0.052381,1
50,0.044,1
51,0.039146,1
52,0.050691,1
53,0.035256,1
54,0.038194,1
55,0.042471,1
56,0.037162,1
57,0.056995,1
58,0.042802,1
59,0.039286,1
60,0.058511,1
61,0.037671,1
62,0.045833,1
63,0.058824,1
64,0.058511,1
65,0.045082,1
66,0.037931,1
67,0.032641,1
68,0.037162,1
69,0.043307,1
70,0.029101,1
71,0.032836,1
72,0.043651,1
73,0.032738,1
74,0.05914,1
75,0.036667,1
76,0.02957,1
77,0.031519,1
78,0.046218,1
79,0.05641,1
80,0.055556,1
81,0.039855,1
82,0.043307,1
83,0.041353,1
84,0.049107,1
85,0.041045,1
86,0.053659,1
87,0.044715,1
88,0.085938,1
89,0.037415,1
90,0.041199,1
91,0.039286,1
92,0.046025,1
93,0.051402,1
94,0.051643,1
95,0.037671,1
96,0.080292,1
97,0.067073,1
98,0.036913,1
99,0.041509,1
