sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,2.9375,-9.6875,1.390625
1,1.742188,-6.5625,1.235937
2,1.859375,-7.125,1.815625
3,1.9375,-6.90625,1.90625
4,1.875,-6.5625,1.703125
5,1.460938,-5.5,2.114062
6,1.210938,-5.0625,2.107812
7,5.0,-12.4375,0.76875
8,1.296875,-4.9375,2.446875
9,2.546875,-7.6875,1.4
10,3.328125,-9.6875,1.1125
11,1.53125,-6.6875,1.9125
12,2.609375,-8.4375,1.575
13,3.5625,-9.5625,1.54375
14,2.265625,-7.71875,1.61875
15,1.109375,-5.03125,1.7375
16,2.890625,-9.0,1.615625
17,1.09375,-4.875,1.64375
18,2.171875,-6.8125,1.8625
19,1.257812,-5.34375,1.717188
20,5.09375,-11.75,0.8625
21,1.59375,-6.25,1.4875
22,1.234375,-5.03125,2.28125
23,2.203125,-8.1875,1.56875
24,1.367188,-4.90625,2.254687
25,3.390625,-10.125,1.234375
26,2.609375,-7.90625,1.653125
27,2.78125,-8.0625,1.7
28,3.3125,-9.5,0.909375
29,2.078125,-7.34375,1.59375
30,3.609375,-9.8125,1.440625
31,3.453125,-9.3125,1.459375
32,4.6875,-11.6875,0.99375
33,1.242188,-4.4375,2.323437
34,1.484375,-5.3125,2.3
35,1.867188,-6.4375,1.567187
36,3.25,-9.4375,0.953125
37,2.203125,-7.25,1.6875
38,2.34375,-8.375,1.778125
39,4.28125,-11.625,0.99375
40,3.765625,-10.75,1.184375
41,3.1875,-9.5625,1.4625
42,3.25,-9.9375,0.88125
43,2.109375,-7.65625,1.3625
44,1.257812,-5.65625,2.401563
45,1.328125,-5.3125,1.85
46,2.421875,-8.25,1.696875
47,1.453125,-5.75,2.090625
48,2.765625,-8.5625,1.359375
49,1.820312,-6.5,2.020313
50,2.5625,-8.25,1.28125
51,1.945312,-7.25,2.029688
52,0.976562,-4.40625,1.829688
53,2.34375,-8.125,1.75
54,2.09375,-7.4375,1.659375
55,4.09375,-11.6875,0.775
56,3.5,-10.5625,1.18125
57,1.0625,-4.5625,2.153125
58,2.359375,-8.6875,1.271875
59,3.859375,-11.5625,1.084375
60,1.578125,-5.84375,2.384375
61,2.1875,-8.125,1.853125
62,1.445312,-6.34375,1.460938
63,0.730469,-3.25,2.410156
64,1.570312,-5.78125,2.279688
65,2.859375,-9.6875,1.20625
66,4.34375,-11.75,1.075
