sample_idx,codec_score,codec_memorized
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,1.0,1
7,1.0,1
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,1.0,1
17,0.0,0
18,1.0,1
19,1.0,1
20,1.0,1
21,0.0,0
22,0.0,0
23,1.0,1
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,1.0,1
30,0.0,0
31,0.0,0
32,1.0,1
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,1.0,1
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,1
42,0.0,0
43,0.0,0
44,0.0,0
45,0.0,0
46,0.0,0
47,0.0,0
48,1.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,1.0,1
54,0.0,0
55,1.0,1
56,1.0,1
57,0.0,0
58,1.0,1
59,0.0,0
60,0.0,0
61,0.0,0
62,0.0,0
63,0.0,0
64,0.0,0
65,0.0,0
66,1.0,1
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,1
72,0.0,0
73,1.0,1
74,0.0,0
75,1.0,1
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,1.0,1
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,1.0,1
86,0.0,0
87,1.0,1
88,0.0,0
89,0.0,0
90,0.0,0
91,0.0,0
92,1.0,1
93,0.0,0
94,0.0,0
95,0.0,0
96,1.0,1
97,0.0,0
98,1.0,1
99,0.0,0
100,0.0,0
101,1.0,1
102,1.0,1
103,1.0,1
104,0.0,0
105,1.0,1
106,1.0,1
107,0.0,0
108,1.0,1
109,0.0,0
110,0.0,0
111,0.0,0
112,0.0,0
113,1.0,1
114,0.0,0
115,1.0,1
116,0.0,0
117,1.0,1
118,0.0,0
119,0.0,0
120,1.0,1
121,1.0,1
122,0.0,0
123,0.0,0
124,0.0,0
125,1.0,1
126,0.0,0
127,0.0,0
128,0.0,0
129,0.0,0
130,1.0,1
131,1.0,1
132,0.0,0
133,0.0,0
134,1.0,1
135,1.0,1
136,0.0,0
137,1.0,1
138,1.0,1
139,0.0,0
140,1.0,1
141,0.0,0
142,0.0,0
143,1.0,1
144,1.0,1
145,1.0,1
146,0.0,0
147,0.0,0
148,0.0,0
149,0.0,0
150,0.0,0
151,0.0,0
152,1.0,1
153,0.0,0
154,0.0,0
155,0.0,0
156,0.0,0
157,1.0,1
158,1.0,1
159,0.0,0
160,1.0,1
161,1.0,1
162,0.0,0
163,1.0,1
164,1.0,1
165,0.0,0
166,1.0,1
167,0.0,0
168,0.0,0
169,0.0,0
170,1.0,1
171,0.0,0
172,1.0,1
173,0.0,0
174,0.0,0
175,1.0,1
176,0.0,0
177,1.0,1
178,1.0,1
179,1.0,1
180,0.0,0
181,0.0,0
182,1.0,1
183,1.0,1
184,0.0,0
185,0.0,0
186,0.0,0
187,0.0,0
188,1.0,1
189,0.0,0
190,1.0,1
191,1.0,1
192,0.0,0
193,1.0,1
194,0.0,0
195,0.0,0
196,0.0,0
197,0.0,0
198,1.0,1
199,1.0,1
200,1.0,1
201,1.0,1
202,1.0,1
203,1.0,1
204,1.0,1
205,0.0,0
206,0.0,0
207,0.0,0
208,1.0,1
209,0.0,0
210,0.0,0
211,0.0,0
212,0.0,0
213,1.0,1
214,0.0,0
215,0.0,0
216,0.0,0
217,0.0,0
218,0.0,0
219,1.0,1
220,0.0,0
221,0.0,0
222,0.0,0
223,1.0,1
224,0.0,0
225,0.0,0
226,0.0,0
227,1.0,1
228,0.0,0
229,0.0,0
230,1.0,1
231,0.0,0
232,0.0,0
