sample_idx,cdd_score,cdd_memorized
0,0.0,0
1,0.15,1
2,0.0,0
3,0.1,1
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,0.1,1
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,0.3,1
18,0.0,0
19,0.0,0
20,0.05,1
21,0.0,0
22,0.0,0
23,0.0,0
24,0.1,1
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,0
31,0.0,0
32,0.0,0
33,0.0,0
34,0.05,1
35,0.0,0
36,1.0,1
37,0.0,0
38,0.3,1
39,0.2,1
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,0
44,0.05,1
45,0.05,1
46,0.0,0
47,0.0,0
48,0.05,1
49,0.0,0
50,0.0,0
51,0.25,1
52,0.0,0
53,0.0,0
54,0.1,1
55,0.0,0
56,0.0,0
57,0.05,1
58,0.0,0
59,0.0,0
60,0.0,0
61,0.0,0
62,0.0,0
63,0.0,0
64,0.0,0
65,0.0,0
66,0.05,1
67,0.05,1
68,1.0,1
69,0.0,0
70,0.0,0
71,0.05,1
72,0.05,1
73,0.0,0
74,0.0,0
75,0.0,0
76,0.0,0
77,0.0,0
78,0.0,0
79,0.8,1
80,0.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,0.0,0
86,0.0,0
87,0.05,1
88,0.0,0
89,0.0,0
90,0.0,0
91,0.0,0
92,0.1,1
93,0.0,0
94,0.6,1
95,0.0,0
96,0.0,0
97,0.0,0
98,1.0,1
99,0.0,0
100,0.0,0
101,0.0,0
102,0.0,0
103,0.35,1
104,0.0,0
105,0.0,0
106,0.45,1
107,0.2,1
108,0.0,0
109,0.0,0
110,0.0,0
111,0.0,0
112,0.0,0
113,0.1,1
114,0.1,1
115,0.0,0
116,0.2,1
117,0.0,0
118,0.0,0
119,0.0,0
120,0.7,1
121,0.0,0
122,0.0,0
123,0.0,0
124,0.0,0
125,0.45,1
126,0.0,0
127,0.0,0
128,0.0,0
129,0.0,0
130,0.0,0
131,0.0,0
132,0.0,0
133,0.85,1
134,0.0,0
135,0.0,0
136,0.05,1
137,0.4,1
138,0.05,1
139,0.0,0
140,0.0,0
141,0.2,1
142,0.15,1
143,0.0,0
144,0.0,0
145,0.05,1
146,0.0,0
147,0.0,0
148,0.0,0
149,0.0,0
150,0.0,0
151,0.0,0
152,0.0,0
153,0.65,1
154,0.65,1
155,0.0,0
156,0.0,0
157,0.0,0
158,0.25,1
159,0.1,1
160,0.0,0
161,0.35,1
162,0.0,0
163,0.05,1
164,0.0,0
165,0.0,0
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,0
170,0.2,1
171,0.35,1
172,0.5,1
173,0.0,0
174,0.0,0
175,0.1,1
176,0.0,0
177,0.0,0
178,0.0,0
179,0.0,0
180,0.15,1
181,0.0,0
182,0.0,0
183,0.0,0
184,0.5,1
185,0.05,1
186,0.0,0
187,0.95,1
188,0.0,0
189,0.0,0
190,0.0,0
191,0.0,0
192,0.0,0
193,0.0,0
194,0.0,0
195,0.1,1
196,0.0,0
197,0.0,0
198,0.0,0
199,0.0,0
200,0.0,0
201,0.0,0
202,0.05,1
203,0.0,0
204,0.0,0
205,0.15,1
206,0.25,1
207,0.0,0
208,0.0,0
209,0.0,0
210,0.45,1
211,0.0,0
212,0.0,0
213,0.0,0
214,0.0,0
215,0.05,1
216,0.0,0
217,0.0,0
218,0.05,1
219,0.1,1
220,0.0,0
221,0.55,1
222,0.1,1
223,0.0,0
224,0.0,0
225,0.0,0
226,0.1,1
227,0.0,0
228,0.0,0
229,0.1,1
230,0.0,0
231,0.0,0
232,0.0,0
233,0.0,0
234,0.1,1
235,0.0,0
236,0.1,1
237,0.0,0
238,0.0,0
239,0.0,0
240,0.0,0
241,0.0,0
242,0.0,0
243,0.25,1
244,0.0,0
245,1.0,1
246,0.0,0
247,0.0,0
248,0.05,1
249,0.0,0
250,0.05,1
251,0.0,0
252,0.2,1
253,0.0,0
254,0.0,0
255,0.0,0
256,0.0,0
257,0.0,0
258,1.0,1
259,0.0,0
260,0.0,0
261,0.0,0
262,0.0,0
263,0.1,1
264,0.0,0
265,0.0,0
266,0.05,1
267,0.0,0
268,0.0,0
269,0.0,0
270,0.0,0
271,0.0,0
272,0.0,0
273,0.0,0
274,0.0,0
275,0.0,0
276,0.0,0
277,0.0,0
278,0.0,0
279,0.0,0
280,0.0,0
281,0.1,1
282,0.0,0
283,0.0,0
284,0.1,1
285,0.15,1
286,0.0,0
287,0.0,0
288,0.0,0
289,0.0,0
290,0.0,0
291,0.9,1
292,0.0,0
293,0.0,0
294,0.0,0
295,0.0,0
296,0.0,0
297,0.25,1
298,0.05,1
299,1.0,1
300,0.0,0
301,0.0,0
302,0.0,0
303,0.1,1
304,0.0,0
305,0.1,1
306,0.0,0
307,0.0,0
308,0.1,1
309,0.2,1
310,0.0,0
311,0.0,0
312,0.0,0
313,0.0,0
314,0.15,1
315,0.0,0
316,0.0,0
317,1.0,1
318,0.0,0
319,0.0,0
320,0.0,0
321,0.0,0
322,0.0,0
323,0.0,0
324,0.0,0
325,0.05,1
326,0.0,0
327,0.05,1
328,0.05,1
329,0.0,0
330,0.0,0
331,0.0,0
332,0.25,1
333,1.0,1
334,0.0,0
335,0.0,0
336,0.25,1
337,0.0,0
338,0.0,0
339,0.0,0
340,0.15,1
341,0.0,0
342,0.0,0
343,0.0,0
344,0.0,0
345,0.0,0
346,0.0,0
347,0.0,0
348,0.0,0
349,0.0,0
350,1.0,1
351,0.75,1
352,0.1,1
353,0.0,0
354,0.0,0
355,0.0,0
356,0.2,1
357,0.0,0
358,0.0,0
359,0.0,0
360,0.05,1
361,0.0,0
362,0.0,0
363,0.0,0
364,0.0,0
365,0.0,0
366,1.0,1
367,0.0,0
368,0.0,0
369,0.0,0
370,0.0,0
371,0.0,0
372,0.1,1
373,0.0,0
374,0.0,0
375,0.0,0
376,0.0,0
377,0.0,0
378,0.0,0
379,0.0,0
380,0.0,0
381,0.0,0
382,0.0,0
383,0.0,0
384,0.0,0
385,0.55,1
386,0.0,0
387,0.15,1
388,0.05,1
389,0.0,0
390,0.0,0
391,0.0,0
392,0.0,0
393,0.0,0
394,0.05,1
395,0.0,0
396,0.0,0
397,0.0,0
398,0.35,1
399,0.0,0
400,0.2,1
401,0.0,0
402,0.95,1
403,1.0,1
404,0.0,0
405,0.0,0
406,0.0,0
407,0.0,0
408,0.3,1
409,0.0,0
410,1.0,1
411,0.0,0
412,0.2,1
413,0.0,0
414,0.0,0
415,0.05,1
416,0.0,0
417,0.0,0
418,0.1,1
419,0.0,0
420,0.1,1
421,0.0,0
422,0.0,0
423,0.0,0
424,0.0,0
425,0.0,0
426,0.1,1
427,0.15,1
428,0.0,0
429,0.05,1
430,0.0,0
431,0.0,0
432,0.0,0
433,0.0,0
434,0.1,1
435,0.0,0
436,0.4,1
437,1.0,1
438,0.0,0
439,0.1,1
440,0.0,0
441,0.0,0
442,0.0,0
