sample_idx,cdd_score,cdd_memorized
0,0.0,0
1,0.0,0
2,0.4,1
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.05,1
8,0.25,1
9,0.0,0
10,0.0,0
11,1.0,1
12,0.0,0
13,0.15,1
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,0
18,0.55,1
19,0.0,0
20,0.05,1
21,0.0,0
22,0.0,0
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.4,1
30,0.0,0
31,0.15,1
32,0.05,1
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.1,1
41,0.0,0
42,0.0,0
43,1.0,1
44,0.0,0
45,0.0,0
46,0.0,0
47,0.35,1
48,0.0,0
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.7,1
57,0.0,0
58,0.0,0
59,0.1,1
60,0.0,0
61,0.0,0
62,0.65,1
63,0.0,0
64,0.0,0
65,0.0,0
66,0.2,1
67,0.0,0
68,0.0,0
69,0.1,1
70,0.0,0
71,0.0,0
72,0.25,1
73,0.3,1
74,0.0,0
75,0.0,0
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,0.4,1
81,0.0,0
82,0.55,1
83,0.25,1
84,0.05,1
85,0.05,1
86,1.0,1
87,0.0,0
88,0.0,0
89,0.0,0
90,0.9,1
91,0.0,0
92,0.0,0
93,0.2,1
94,0.0,0
95,0.0,0
96,0.1,1
97,0.0,0
98,0.0,0
99,0.0,0
100,0.0,0
101,0.0,0
102,0.0,0
103,0.1,1
104,0.0,0
105,0.0,0
106,0.0,0
107,0.6,1
108,0.0,0
109,0.0,0
110,0.0,0
111,0.5,1
112,0.0,0
113,0.0,0
114,0.0,0
115,0.0,0
116,0.05,1
117,0.0,0
118,0.0,0
119,0.1,1
120,1.0,1
121,0.0,0
122,0.0,0
123,0.05,1
124,0.45,1
125,0.0,0
126,0.15,1
127,0.0,0
128,0.0,0
129,0.0,0
130,0.05,1
131,0.0,0
132,0.05,1
133,0.8,1
134,0.0,0
135,0.1,1
136,0.0,0
137,0.0,0
138,0.0,0
139,0.05,1
140,0.0,0
141,0.1,1
142,0.7,1
143,0.0,0
144,0.0,0
145,0.0,0
146,0.0,0
147,0.15,1
148,0.0,0
149,0.0,0
150,0.0,0
151,0.95,1
152,0.0,0
153,0.9,1
154,0.95,1
155,0.0,0
156,1.0,1
157,0.15,1
158,0.0,0
159,0.0,0
160,1.0,1
161,0.1,1
162,0.0,0
163,0.0,0
164,0.05,1
165,0.0,0
166,0.0,0
167,0.55,1
168,0.0,0
169,0.0,0
170,0.0,0
171,0.6,1
172,0.15,1
173,0.0,0
174,0.0,0
175,0.05,1
176,0.0,0
177,0.0,0
178,0.0,0
179,0.0,0
180,0.0,0
181,0.0,0
182,0.75,1
183,0.05,1
184,0.0,0
185,0.0,0
186,0.05,1
187,0.0,0
188,0.0,0
189,0.0,0
190,0.0,0
191,0.0,0
192,0.0,0
193,0.05,1
194,0.2,1
195,0.0,0
196,0.0,0
197,0.0,0
198,0.4,1
199,0.0,0
200,0.0,0
201,0.2,1
202,0.0,0
203,0.15,1
204,0.0,0
205,0.0,0
206,0.35,1
207,0.7,1
208,0.15,1
209,0.0,0
210,0.0,0
211,0.1,1
212,0.0,0
213,0.0,0
214,0.0,0
215,0.0,0
216,0.9,1
217,0.0,0
218,0.0,0
219,0.0,0
220,0.0,0
221,0.0,0
222,0.0,0
223,0.0,0
224,0.9,1
225,0.05,1
226,0.1,1
227,0.0,0
228,0.45,1
229,0.0,0
230,0.0,0
231,0.15,1
232,0.0,0
