sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,5.6875,-13.25,0.8125
1,5.625,-14.375,1.5875
2,3.265625,-11.25,3.021875
3,6.21875,-15.4375,1.61875
4,2.28125,-8.75,2.175
5,6.84375,-15.0625,0.95
6,4.375,-12.1875,1.825
7,4.5625,-12.1875,1.525
8,6.3125,-15.25,1.93125
9,5.59375,-12.1875,0.84375
10,1.8125,-8.3125,3.6625
11,4.09375,-12.75,1.875
12,2.53125,-10.0625,2.94375
13,3.03125,-11.125,2.6625
14,2.609375,-10.4375,3.378125
15,2.3125,-9.3125,3.16875
16,4.21875,-13.375,1.95625
17,5.09375,-12.9375,1.63125
18,3.828125,-12.4375,2.184375
19,1.515625,-6.875,5.025
20,5.0,-12.3125,1.50625
21,2.078125,-8.25,3.628125
22,5.4375,-12.9375,1.3375
23,5.71875,-14.0625,1.91875
24,3.234375,-10.8125,1.09375
25,4.375,-12.875,1.65
26,6.3125,-13.125,1.4
27,1.859375,-8.25,3.540625
28,6.46875,-14.125,0.9625
29,6.375,-13.375,1.44375
30,4.5625,-13.0625,1.95625
31,3.453125,-11.0625,2.396875
32,4.9375,-11.6875,1.75
33,6.6875,-14.75,1.40625
34,4.90625,-13.1875,1.1875
35,4.40625,-11.9375,1.68125
36,5.125,-12.6875,1.1125
37,3.4375,-11.5,1.725
38,5.125,-13.4375,1.53125
39,2.109375,-9.0625,3.409375
40,4.6875,-13.375,1.89375
41,2.5625,-9.25,2.975
42,4.28125,-10.9375,1.7375
43,5.6875,-13.8125,1.48125
44,4.09375,-11.125,1.7625
45,3.265625,-10.9375,3.215625
46,3.65625,-12.8125,2.99375
47,2.28125,-9.375,3.04375
48,6.0625,-14.25,1.0125
49,3.453125,-11.5625,3.059375
50,3.3125,-11.625,2.7625
51,5.65625,-13.0,1.40625
52,7.375,-15.375,0.48125
53,4.875,-14.0625,1.775
54,6.125,-13.9375,1.775
55,6.5625,-15.6875,0.95
56,2.40625,-9.875,3.01875
57,4.5,-12.625,2.1875
58,6.78125,-14.375,1.54375
59,5.65625,-14.4375,1.4375
60,2.1875,-9.25,3.509375
61,4.40625,-11.375,1.39375
62,5.5625,-13.375,1.74375
63,4.4375,-12.75,2.24375
64,3.328125,-11.1875,3.928125
65,1.648438,-7.15625,2.792187
66,4.28125,-13.25,1.2875
67,2.53125,-9.9375,3.4
68,6.03125,-14.5,0.975
69,6.78125,-14.75,1.1
70,4.3125,-12.0625,2.3625
71,5.8125,-14.125,1.45
72,3.203125,-11.375,2.965625
73,5.25,-12.875,1.65
74,6.375,-13.625,1.21875
75,3.203125,-11.0625,3.1375
76,5.625,-12.3125,1.075
77,2.734375,-10.375,2.840625
78,2.96875,-10.375,2.7375
79,4.75,-13.125,1.6875
80,2.65625,-10.25,3.33125
81,2.484375,-9.6875,2.96875
82,1.992188,-8.3125,4.070312
83,6.46875,-13.0,1.175
84,2.15625,-8.125,2.421875
85,3.25,-10.6875,1.54375
86,3.09375,-10.4375,2.8
87,4.9375,-12.875,2.29375
88,6.71875,-14.5,0.9
89,4.65625,-12.5,1.44375
90,2.4375,-9.875,4.3375
91,2.4375,-9.5,3.075
92,3.65625,-11.5,2.14375
93,5.5,-13.3125,1.13125
94,5.15625,-14.1875,1.95625
95,4.6875,-13.25,1.99375
96,4.4375,-14.6875,1.70625
97,2.96875,-11.0,3.675
98,2.296875,-9.4375,3.446875
99,4.125,-11.5625,2.2
100,6.625,-14.4375,1.23125
101,4.375,-12.3125,1.2375
102,6.375,-14.6875,0.9125
103,1.679688,-4.3125,0.829687
104,6.375,-13.375,1.86875
105,4.625,-12.875,1.76875
106,1.4375,-6.96875,0.860937
107,2.640625,-11.0625,3.715625
108,6.125,-14.0,1.65625
109,3.5625,-11.625,1.965625
110,2.40625,-9.625,4.86875
111,3.640625,-13.3125,1.575
112,5.71875,-13.25,1.56875
113,5.28125,-13.375,1.99375
114,1.867188,-8.0,4.154687
115,2.875,-11.5625,3.5875
116,2.359375,-9.875,3.546875
117,4.59375,-12.9375,2.15625
118,5.375,-12.875,1.5625
119,6.03125,-14.6875,1.94375
120,4.09375,-11.3125,1.98125
121,3.59375,-12.8125,3.19375
122,6.5,-12.8125,1.86875
123,3.96875,-12.3125,1.7
124,4.46875,-13.75,2.11875
125,5.46875,-12.3125,0.75625
126,2.890625,-10.25,0.940625
127,3.921875,-11.9375,1.434375
128,3.15625,-11.8125,3.48125
129,5.59375,-13.125,1.78125
130,5.09375,-12.75,1.64375
131,5.09375,-13.875,1.5125
132,4.9375,-13.0625,1.1375
133,5.59375,-12.9375,1.73125
134,5.4375,-14.0625,2.01875
135,3.828125,-11.75,2.021875
136,5.5,-14.1875,1.5125
137,5.40625,-12.1875,1.71875
138,5.59375,-13.375,1.34375
139,6.1875,-12.75,1.6125
140,4.40625,-12.6875,1.8875
141,4.4375,-13.1875,1.9
142,5.1875,-13.8125,1.5625
143,5.25,-14.8125,1.54375
144,4.9375,-13.375,1.3875
145,4.625,-13.125,1.6625
146,2.015625,-8.8125,3.653125
147,1.992188,-8.5,3.839062
148,5.4375,-14.5,2.35
149,4.9375,-13.0625,1.21875
150,5.5,-13.6875,1.85625
151,2.84375,-10.0,2.99375
152,3.46875,-11.6875,2.86875
153,4.40625,-13.125,1.525
154,2.765625,-10.25,2.865625
155,5.46875,-13.375,1.0
156,6.125,-13.9375,1.5875
157,4.1875,-12.1875,3.125
158,5.78125,-14.4375,1.0875
159,3.625,-11.875,1.90625
160,3.625,-10.3125,1.16875
161,5.375,-14.0,1.90625
162,3.796875,-11.5,1.596875
163,4.625,-12.375,1.45
164,4.90625,-12.75,2.06875
165,1.953125,-8.3125,1.73125
166,4.25,-11.9375,1.05
167,7.0625,-14.4375,0.46875
168,3.203125,-11.125,1.203125
169,5.0625,-13.3125,1.53125
170,4.3125,-12.0,1.36875
171,2.515625,-10.3125,1.525
172,2.71875,-10.4375,2.528125
173,2.515625,-9.6875,3.178125
174,6.125,-12.625,2.0875
175,3.1875,-10.5625,2.125
176,4.78125,-12.125,1.875
177,2.5625,-10.0625,4.025
178,1.5,-7.0,4.8
179,4.09375,-11.9375,2.00625
180,5.375,-13.625,1.5375
181,4.4375,-12.125,1.5875
182,4.4375,-12.25,2.44375
183,3.609375,-11.5,1.753125
184,3.890625,-12.75,3.059375
185,4.15625,-12.3125,1.58125
186,4.9375,-15.25,1.2875
187,3.171875,-11.75,2.20625
188,5.65625,-12.5625,1.75
189,2.78125,-11.5,3.625
190,5.125,-13.0,1.63125
191,2.890625,-10.9375,3.096875
192,5.96875,-13.3125,1.59375
193,5.125,-12.4375,1.35625
194,4.90625,-14.5625,0.30625
195,3.0,-10.5,2.59375
196,5.09375,-13.8125,1.58125
197,2.015625,-8.5625,3.115625
198,3.75,-12.5625,2.425
199,2.96875,-10.375,1.565625
200,5.75,-13.3125,0.9125
201,4.125,-11.8125,1.7875
202,3.03125,-10.0,0.865625
203,1.992188,-8.9375,3.982812
204,3.234375,-11.375,3.003125
205,5.09375,-14.6875,2.125
206,1.742188,-7.25,3.479687
207,4.15625,-11.625,1.4
208,3.4375,-13.0625,3.58125
209,2.28125,-9.5625,2.1375
210,1.742188,-7.46875,3.810937
211,4.40625,-13.125,1.7875
212,3.515625,-11.5625,2.603125
213,2.5,-9.0,2.45
214,1.867188,-7.8125,3.064062
215,2.9375,-11.5,1.678125
216,6.875,-15.25,1.175
217,2.921875,-11.0625,2.971875
218,6.53125,-14.5625,1.26875
219,2.359375,-9.0625,1.98125
220,4.0625,-12.5625,1.73125
221,2.359375,-8.6875,3.203125
222,6.40625,-14.1875,1.34375
223,1.757812,-7.75,3.589063
224,5.03125,-13.1875,1.66875
225,3.4375,-10.1875,2.08125
226,3.46875,-11.875,1.73125
227,3.9375,-11.8125,2.1
228,3.109375,-11.0625,4.096875
229,3.21875,-10.25,2.89375
230,3.609375,-12.0625,2.053125
231,4.15625,-12.5625,2.15625
232,4.375,-12.375,0.9
233,4.625,-13.1875,2.00625
234,5.46875,-13.5625,1.5125
235,5.65625,-13.6875,1.8625
236,4.59375,-13.125,1.3375
237,5.21875,-13.0,1.51875
238,3.53125,-12.4375,2.98125
239,2.203125,-8.6875,3.740625
240,5.59375,-13.5625,1.2125
241,4.0625,-12.0625,2.09375
242,2.78125,-11.0,3.18125
243,3.453125,-11.625,0.953125
244,5.125,-13.75,2.075
245,1.257812,-5.8125,4.392188
246,4.03125,-11.375,1.59375
247,5.6875,-12.5,0.95
248,4.34375,-12.9375,1.10625
249,6.1875,-14.6875,0.6625
250,3.234375,-10.9375,1.765625
251,6.15625,-14.875,1.65625
252,4.15625,-11.3125,2.1375
253,5.15625,-13.4375,1.9
254,3.53125,-12.3125,3.2375
255,2.953125,-10.125,2.559375
256,4.28125,-12.375,2.38125
257,4.09375,-11.9375,1.5875
258,4.96875,-11.8125,1.075
259,4.84375,-13.6875,1.63125
260,5.0625,-12.375,1.73125
261,5.84375,-14.125,1.225
262,4.96875,-12.625,1.69375
263,4.375,-12.6875,2.3125
264,4.3125,-13.5,2.0125
265,5.28125,-12.75,1.85
266,3.28125,-11.125,2.1625
267,3.75,-11.4375,1.6625
268,6.625,-14.5,1.4
269,4.40625,-11.875,1.65
270,5.28125,-12.875,1.6375
271,5.65625,-13.9375,1.0625
272,4.09375,-11.4375,1.25
273,5.53125,-15.1875,1.475
274,6.0,-14.5,1.11875
275,5.03125,-13.0,2.11875
276,6.875,-15.1875,1.1375
277,5.03125,-12.8125,1.675
278,7.15625,-16.5,0.71875
279,6.65625,-14.4375,1.26875
280,1.984375,-8.0,3.875
281,5.6875,-13.125,1.24375
282,5.03125,-12.6875,1.76875
283,6.375,-14.9375,1.6
284,3.40625,-11.75,2.825
285,2.40625,-9.6875,3.85625
286,5.6875,-13.375,1.53125
287,2.640625,-10.0,3.203125
288,5.59375,-12.4375,1.01875
289,2.1875,-8.25,3.125
290,3.984375,-12.3125,1.715625
291,4.8125,-12.8125,1.775
292,5.5625,-14.4375,1.65625
293,2.453125,-9.3125,3.315625
294,4.8125,-12.8125,1.95
295,5.46875,-13.375,1.45625
296,3.0625,-10.75,2.45
297,5.25,-13.625,1.29375
298,2.890625,-10.3125,2.746875
